Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90
Gonzalo García,ESP,FW,Real Madrid,20.0,2004.0,2,0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.0,0.0,15.0,5.0,0.0
Jastin García,ESP,FW,Girona,20.0,2004.0,2,0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,5.0
Raúl García,ESP,FW,Athletic Club,37.0,1986.0,17,0,265,2.9,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.0,1.03,3.45,1.38,4.14
Rubén García,ESP,FW,Osasuna,30.0,1993.0,28,17,1443,16.0,0.19,0.12,0.31,0.19,0.31,0.14,0.2,0.34,0.14,0.34,0.0,0.06,7.0,0.81,3.31
Santiago García,,FW,Getafe,22.0,2001.0,1,0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,6.67
Unai García,ESP,DF,Osasuna,32.0,1992.0,8,6,548,6.1,0.16,0.0,0.16,0.16,0.16,0.02,0.0,0.02,0.02,0.02,0.16,0.82,0.16,0.33,1.97
Federico Gattoni,ARG,DF,Sevilla,25.0,1999.0,2,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gavi,ESP,MF,Barcelona,19.0,2004.0,12,10,944,10.5,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,0.0,0.48,3.62,2.48,3.71
Paulo Gazzaniga,ARG,GK,Girona,32.0,1992.0,35,35,3150,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.06,0.0,0.0,0.0
David Gil,ESP,GK,Cádiz,30.0,1994.0,4,3,282,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0
Maxi Gómez,URU,FW,Cádiz,27.0,1996.0,29,12,1156,12.8,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,0.0,0.16,4.06,1.02,0.86
Moi Gómez,ESP,MF,Osasuna,29.0,1994.0,26,23,1956,21.7,0.14,0.0,0.14,0.14,0.14,0.08,0.04,0.12,0.08,0.12,0.0,0.14,3.13,1.66,5.85
Unai Gómez,ESP,MF,Athletic Club,20.0,2003.0,23,8,740,8.2,0.24,0.0,0.24,0.24,0.24,0.17,0.07,0.24,0.17,0.24,0.0,0.12,5.24,2.2,3.05
Édgar González,ESP,DF,Almería,27.0,1997.0,29,28,2387,26.5,0.08,0.0,0.08,0.08,0.08,0.09,0.01,0.1,0.09,0.1,0.04,0.26,0.23,0.23,2.57
Fabio González,ESP,MF,Las Palmas,27.0,1997.0,5,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0
Giovanni González,URU,DF,Mallorca,29.0,1994.0,32,25,2284,25.4,0.04,0.04,0.08,0.04,0.08,0.01,0.04,0.06,0.01,0.06,0.0,0.24,3.43,0.98,3.19
Hugo González,ESP,MF,Valencia,21.0,2003.0,7,0,54,0.6,0.0,1.67,1.67,0.0,1.67,0.03,0.84,0.87,0.03,0.87,0.0,0.0,8.33,1.67,1.67
Iñaki González,ESP,MF,Las Palmas,19.0,2004.0,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter González,DOM,MF,Valencia,21.0,2002.0,12,4,512,5.7,0.0,0.0,0.0,0.0,0.0,0.27,0.11,0.38,0.27,0.38,0.0,0.18,5.79,2.63,2.28
Urko González,ESP,MF,Real Sociedad,23.0,2001.0,4,2,149,1.7,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.59,0.59,0.59,3.53
Andoni Gorosabel,ESP,DF,Alavés,27.0,1996.0,33,32,2790,31.0,0.03,0.0,0.03,0.03,0.03,0.02,0.04,0.06,0.02,0.06,0.0,0.19,3.84,1.84,3.65
Pablo Gozalbez,ESP,MF,Valencia,23.0,2001.0,5,1,103,1.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,4.55,0.0,0.0
Mason Greenwood,ENG,MF,Getafe,22.0,2001.0,30,27,2392,26.6,0.3,0.23,0.53,0.23,0.45,0.29,0.17,0.46,0.2,0.37,0.04,0.23,8.27,4.62,2.86
Dominik Greif,SVK,GK,Mallorca,27.0,1997.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Griezmann,FRA,FW,Atlético Madrid,33.0,1991.0,30,28,2378,26.4,0.49,0.23,0.72,0.34,0.57,0.42,0.21,0.63,0.3,0.51,0.0,0.19,6.82,1.48,4.13
Vicente Guaita,ESP,GK,Celta Vigo,37.0,1987.0,26,25,2313,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
Andrés Guardado,MEX,MF,Betis,37.0,1986.0,12,4,447,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,0.0,0.4,1.2,1.0,7.2
Sergi Guardiola,ESP,FW,Cádiz,32.0,1991.0,20,1,429,4.8,0.0,0.21,0.21,0.0,0.21,0.25,0.14,0.39,0.25,0.39,0.0,0.21,5.62,1.88,3.33
Nemanja Gudelj,SRB,DF,Sevilla,32.0,1991.0,21,20,1730,19.2,0.05,0.05,0.1,0.05,0.1,0.04,0.02,0.06,0.04,0.06,0.0,0.36,0.26,1.2,3.65
Gonçalo Guedes,POR,FW,Villarreal,27.0,1996.0,14,7,769,8.5,0.35,0.23,0.59,0.35,0.59,0.25,0.15,0.4,0.25,0.4,0.0,0.0,8.12,3.65,5.06
Javier Guerra,ESP,MF,Valencia,21.0,2003.0,33,26,2327,25.9,0.15,0.04,0.19,0.15,0.19,0.09,0.04,0.13,0.09,0.13,0.04,0.12,2.55,1.66,2.78
Ander Guevara,ESP,MF,Alavés,26.0,1997.0,34,31,2752,30.6,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,0.0,0.23,1.14,1.73,5.75
Hugo Guillamón,ESP,MF,Valencia,24.0,2000.0,24,10,1157,12.9,0.08,0.0,0.08,0.08,0.08,0.02,0.03,0.04,0.02,0.04,0.0,0.47,0.78,0.47,4.34
