Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90
Jurriën Timber,NED,DF,Arsenal,22.0,2001.0,1,1,49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,14.0
Harry Toffolo,ENG,DF,Nott'ham Forest,28.0,1995.0,20,14,1342,14.9,0.07,0.2,0.27,0.07,0.27,0.11,0.1,0.21,0.11,0.21,0.0,0.2,2.28,0.6,2.48
Takehiro Tomiyasu,JPN,DF,Arsenal,25.0,1998.0,19,7,879,9.8,0.1,0.1,0.2,0.1,0.2,0.09,0.02,0.12,0.09,0.12,0.1,0.2,3.06,1.63,6.33
James Tomkins,ENG,DF,Crystal Palace,35.0,1989.0,3,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandro Tonali,ITA,MF,Newcastle Utd,23.0,2000.0,8,5,438,4.9,0.21,0.0,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,0.0,0.41,4.29,2.24,3.88
Ivan Toney,ENG,FW,Brentford,28.0,1996.0,14,13,1180,13.1,0.31,0.08,0.38,0.31,0.38,0.4,0.11,0.5,0.4,0.5,0.0,0.23,6.64,1.45,2.6
Pau Torres,ESP,DF,Aston Villa,27.0,1997.0,27,25,2284,25.4,0.08,0.0,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,0.0,0.04,0.63,1.54,4.84
Andros Townsend,ENG,MF,Luton Town,32.0,1991.0,25,14,1184,13.2,0.08,0.23,0.3,0.08,0.3,0.09,0.1,0.19,0.09,0.19,0.0,0.08,5.3,3.48,2.65
James Trafford,ENG,GK,Burnley,21.0,2002.0,28,28,2520,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.21
Adama Traoré,ESP,FW,Fulham,28.0,1996.0,14,0,227,2.5,0.4,0.79,1.19,0.4,1.19,0.54,0.22,0.75,0.54,0.75,0.0,0.4,12.4,7.6,5.2
Bertrand Traoré,BFA,DF,Aston Villa,28.0,1995.0,2,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boubacar Traoré,MLI,MF,Wolves,22.0,2001.0,21,5,656,7.3,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,0.0,0.27,1.64,0.96,3.29
Mark Travers,IRL,GK,Bournemouth,24.0,1999.0,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Trésor,BEL,FW,Burnley,24.0,1999.0,15,3,410,4.6,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.19,0.1,0.19,0.0,0.0,6.52,3.26,2.17
Kieran Trippier,ENG,DF,Newcastle Utd,33.0,1990.0,25,25,2163,24.0,0.04,0.42,0.46,0.04,0.46,0.03,0.31,0.34,0.03,0.34,0.0,0.21,5.12,1.42,6.29
Leandro Trossard,BEL,FW,Arsenal,29.0,1994.0,31,15,1427,15.9,0.63,0.06,0.69,0.63,0.69,0.44,0.14,0.58,0.44,0.58,0.0,0.13,8.36,3.84,4.34
Auston Trusty,USA,DF,Sheffield Utd,25.0,1998.0,29,25,2302,25.6,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,0.0,0.16,0.47,0.39,1.48
Kostas Tsimikas,GRE,DF,Liverpool,27.0,1996.0,13,8,679,7.5,0.0,0.4,0.4,0.0,0.4,0.01,0.14,0.15,0.01,0.15,0.0,0.0,9.73,3.2,4.13
Matt Turner,USA,GK,Nott'ham Forest,29.0,1994.0,17,17,1530,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
Destiny Udogie,ITA,DF,Tottenham,21.0,2002.0,28,28,2391,26.6,0.08,0.11,0.19,0.08,0.19,0.09,0.08,0.17,0.09,0.17,0.04,0.26,5.19,3.12,5.83
Lesley Ugochukwu,FRA,MF,Chelsea,20.0,2004.0,10,3,273,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.67,0.67,2.0,5.0
Enes Ünal,TUR,FW,Bournemouth,26.0,1997.0,13,1,225,2.5,0.8,0.8,1.6,0.8,1.6,0.87,0.33,1.2,0.87,1.2,0.0,0.4,7.6,1.2,2.4
Virgil van Dijk,NED,DF,Liverpool,32.0,1991.0,33,33,2907,32.3,0.06,0.06,0.12,0.06,0.12,0.08,0.05,0.13,0.08,0.13,0.03,0.09,0.19,0.99,5.85
Raphaël Varane,FRA,DF,Manchester Utd,31.0,1993.0,21,16,1353,15.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.09,0.08,0.09,0.0,0.13,0.13,1.07,3.87
Alejo Véliz,ARG,FW,Tottenham,20.0,2003.0,8,0,50,0.6,1.8,0.0,1.8,1.8,1.8,0.45,0.0,0.45,0.45,0.45,0.0,1.67,5.0,0.0,1.67
Joël Veltman,NED,DF,Brighton,32.0,1992.0,25,15,1459,16.2,0.0,0.06,0.06,0.0,0.06,0.01,0.03,0.04,0.01,0.04,0.0,0.25,3.09,1.42,5.0
Micky van de Ven,NED,DF,Tottenham,23.0,2001.0,22,22,1889,21.0,0.1,0.0,0.1,0.1,0.1,0.02,0.0,0.02,0.02,0.02,0.0,0.14,0.1,0.62,4.05
Bart Verbruggen,NED,GK,Brighton,21.0,2002.0,18,18,1620,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.17
Guglielmo Vicario,ITA,GK,Tottenham,27.0,1996.0,33,33,2970,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06
Fabio Vieira,POR,MF,Arsenal,23.0,2000.0,11,2,297,3.3,0.3,0.61,0.91,0.0,0.61,0.38,0.49,0.87,0.14,0.64,0.3,0.0,9.09,3.64,4.55
Carlos Vinícius,BRA,FW,Fulham,29.0,1995.0,13,2,315,3.5,0.57,0.0,0.57,0.57,0.57,0.46,0.23,0.69,0.46,0.69,0.0,0.57,3.71,0.86,0.86
Vitinho,BRA,DF,Burnley,24.0,1999.0,29,24,2108,23.4,0.0,0.04,0.04,0.0,0.04,0.06,0.05,0.11,0.06,0.11,0.0,0.04,4.32,2.44,2.69
Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,30.0,1994.0,5,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.2
Kyle Walker,ENG,DF,Manchester City,33.0,1990.0,28,27,2428,27.0,0.0,0.15,0.15,0.0,0.15,0.01,0.1,0.11,0.01,0.11,0.0,0.07,6.07,2.56,5.26
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,26.0,1997.0,18,16,1424,15.8,0.0,0.13,0.13,0.0,0.13,0.0,0.09,0.09,0.0,0.09,0.0,0.25,2.78,1.52,3.86
Joel Ward,ENG,DF,Crystal Palace,34.0,1989.0,25,23,1977,22.0,0.0,0.05,0.05,0.0,0.05,0.04,0.01,0.05,0.04,0.05,0.0,0.18,0.64,0.73,3.0
James Ward-Prowse,ENG,MF,West Ham,29.0,1994.0,34,32,2776,30.8,0.19,0.23,0.42,0.13,0.36,0.19,0.25,0.44,0.14,0.39,0.0,0.13,1.95,0.58,4.32
Deivid Washington,BRA,DF,Chelsea,18.0,2005.0,2,0,13,0.1,0.0,0.0,0.0,0.0,0.0,3.23,0.0,3.23,3.23,3.23,0.0,0.0,10.0,0.0,0.0
Ollie Watkins,ENG,FW,Aston Villa,28.0,1995.0,34,34,2970,33.0,0.58,0.36,0.94,0.58,0.94,0.48,0.21,0.7,0.48,0.7,0.0,0.12,6.12,1.67,1.64
Adam Webster,ENG,DF,Brighton,29.0,1995.0,11,9,784,8.7,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,0.0,0.23,0.23,1.26,7.47
Danny Welbeck,ENG,FW,Brighton,33.0,1990.0,25,18,1405,15.6,0.26,0.06,0.32,0.26,0.32,0.27,0.1,0.37,0.27,0.37,0.0,0.19,5.71,1.92,2.69
Timo Werner,GER,FW,Tottenham,28.0,1996.0,13,10,809,9.0,0.22,0.33,0.56,0.22,0.56,0.41,0.3,0.72,0.41,0.72,0.0,0.11,13.78,8.78,4.56
Adam Wharton,ENG,MF,Crystal Palace,19.0,2004.0,13,12,1031,11.5,0.0,0.17,0.17,0.0,0.17,0.03,0.21,0.23,0.03,0.23,0.0,0.17,0.7,0.96,4.78
Ethan Wheatley,ENG,FW,Manchester Utd,18.0,2006.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Ben White,ENG,DF,Arsenal,26.0,1997.0,34,32,2740,30.4,0.13,0.13,0.26,0.13,0.26,0.03,0.1,0.14,0.03,0.14,0.0,0.26,4.97,1.32,5.66
Joe White,ENG,MF,Newcastle Utd,21.0,2002.0,4,0,13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,20.0,30.0
Neco Williams,WAL,DF,Nott'ham Forest,23.0,2001.0,26,18,1637,18.2,0.0,0.05,0.05,0.0,0.05,0.04,0.09,0.13,0.04,0.13,0.0,0.22,4.73,2.64,2.58
Willian,BRA,FW,Fulham,35.0,1988.0,29,22,1945,21.6,0.19,0.09,0.28,0.09,0.19,0.24,0.18,0.42,0.16,0.35,0.0,0.05,8.29,4.12,6.94
Joe Willock,ENG,MF,Newcastle Utd,24.0,1999.0,9,5,419,4.7,0.21,0.0,0.21,0.21,0.21,0.17,0.12,0.3,0.17,0.3,0.0,0.0,5.53,3.4,3.62
Callum Wilson,ENG,FW,Newcastle Utd,32.0,1992.0,18,8,913,10.1,0.79,0.1,0.89,0.59,0.69,0.77,0.05,0.82,0.62,0.67,0.0,0.2,6.63,1.09,0.69
Harry Wilson,WAL,FW,Fulham,27.0,1997.0,32,15,1512,16.8,0.18,0.24,0.42,0.18,0.42,0.19,0.18,0.37,0.19,0.37,0.0,0.36,7.32,2.14,3.27
Yoane Wissa,COD,FW,Brentford,27.0,1996.0,31,28,2357,26.2,0.38,0.04,0.42,0.38,0.42,0.39,0.13,0.51,0.39,0.51,0.0,0.23,5.31,1.6,1.68
Chris Wood,NZL,FW,Nott'ham Forest,32.0,1991.0,28,17,1555,17.3,0.69,0.06,0.75,0.69,0.75,0.53,0.12,0.65,0.53,0.65,0.0,0.0,3.64,0.81,1.56
Cauley Woodrow,ENG,FW,Luton Town,29.0,1994.0,21,2,387,4.3,0.23,0.23,0.47,0.23,0.47,0.29,0.27,0.56,0.29,0.56,0.0,0.47,4.88,1.4,1.16
Joe Worrall,ENG,DF,Nott'ham Forest,27.0,1997.0,7,5,439,4.9,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,0.2,0.0,0.2,0.0,1.63
Ryan Yates,ENG,MF,Nott'ham Forest,26.0,1997.0,32,18,1774,19.7,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,0.0,0.3,1.83,0.81,3.5
Ashley Young,ENG,DF,Everton,38.0,1985.0,28,24,2034,22.6,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.09,0.03,0.09,0.04,0.31,2.57,1.73,3.19
Illia Zabarnyi,UKR,DF,Bournemouth,21.0,2002.0,34,34,3060,34.0,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,0.0,0.15,0.03,0.62,2.94
Nicolò Zaniolo,ITA,FW,Aston Villa,24.0,1999.0,24,9,825,9.2,0.22,0.0,0.22,0.22,0.22,0.25,0.1,0.35,0.25,0.35,0.0,0.76,6.41,3.8,3.26
Anass Zaroury,MAR,FW,Burnley,23.0,2000.0,6,1,152,1.7,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,0.59,0.0,7.06,1.18,1.18
Oleksandr Zinchenko,UKR,DF,Arsenal,27.0,1996.0,26,20,1690,18.8,0.05,0.11,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,0.0,0.11,3.03,2.07,11.7
Kurt Zouma,FRA,DF,West Ham,29.0,1994.0,30,29,2568,28.5,0.11,0.0,0.11,0.11,0.11,0.06,0.01,0.07,0.06,0.07,0.0,0.11,0.04,0.25,1.75
Martin Ødegaard,NOR,MF,Arsenal,25.0,1998.0,32,32,2822,31.4,0.26,0.26,0.51,0.19,0.45,0.2,0.27,0.47,0.15,0.42,0.0,0.06,5.7,2.64,9.75
Keyliane Abdallah,FRA,FW,Marseille,18.0,2006.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Yunis Abdelhamid,MAR,DF,Reims,36.0,1987.0,28,28,2511,27.9,0.11,0.0,0.11,0.11,0.11,0.09,0.01,0.11,0.09,0.11,0.0,0.18,0.32,1.29,4.77
Salis Abdul Samed,GHA,MF,Lens,24.0,2000.0,25,17,1507,16.7,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,0.0,0.12,1.2,0.48,4.61
Laurent Abergel,FRA,MF,Lorient,31.0,1993.0,30,29,2590,28.8,0.03,0.03,0.07,0.03,0.07,0.03,0.07,0.1,0.03,0.1,0.0,0.1,1.67,1.18,5.9
Matthis Abline,FRA,FW,Nantes,21.0,2003.0,19,9,822,9.1,0.44,0.0,0.44,0.44,0.44,0.27,0.22,0.49,0.27,0.49,0.0,0.11,8.02,2.31,1.65
Zakaria Aboukhlal,MAR,MF,Toulouse,24.0,2000.0,11,7,630,7.0,0.43,0.0,0.43,0.29,0.29,0.37,0.03,0.4,0.26,0.29,0.0,0.29,9.0,2.57,1.86
Bénie Adama Traore,CIV,FW,Nantes,21.0,2002.0,11,2,328,3.6,0.0,0.27,0.27,0.0,0.27,0.04,0.24,0.28,0.04,0.28,0.28,0.0,10.28,4.72,2.5
Akor Adams,NGA,FW,Montpellier,24.0,2000.0,29,25,2077,23.1,0.35,0.04,0.39,0.35,0.39,0.53,0.08,0.6,0.53,0.6,0.0,0.09,5.28,1.69,0.69
Nathaniel Adjei,GHA,DF,Lorient,21.0,2002.0,13,12,1092,12.1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,0.0,0.17,0.33,0.74,2.56
Adryelson,BRA,DF,Lyon,26.0,1998.0,2,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adson,BRA,MF,Nantes,23.0,2000.0,8,2,238,2.6,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,0.0,0.0,7.31,6.92,5.77
Emmanuel Agbadou,CIV,DF,Reims,26.0,1997.0,29,26,2326,25.8,0.04,0.04,0.08,0.04,0.08,0.09,0.06,0.15,0.09,0.15,0.0,0.04,0.74,1.59,6.71
Ruben Aguilar,FRA,DF,Lens,31.0,1993.0,22,21,1825,20.3,0.05,0.15,0.2,0.05,0.2,0.07,0.14,0.21,0.07,0.21,0.0,0.15,7.64,1.77,5.17
Tosin Aiyegun,BEN,MF,Lorient,25.0,1998.0,17,8,786,8.7,0.23,0.0,0.23,0.23,0.23,0.2,0.03,0.23,0.2,0.23,0.11,0.0,5.17,1.84,1.72
Sergio Akieme,ESP,DF,Reims,26.0,1997.0,10,5,548,6.1,0.16,0.0,0.16,0.16,0.16,0.21,0.06,0.27,0.21,0.27,0.0,0.16,4.92,2.62,2.46
Maghnes Akliouche,FRA,MF,Monaco,22.0,2002.0,26,16,1439,16.0,0.44,0.19,0.63,0.44,0.63,0.31,0.18,0.49,0.31,0.49,0.0,0.25,7.62,2.38,5.44
Paul Akouokou,CIV,MF,Lyon,26.0,1997.0,8,4,307,3.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.29,0.59,0.0,3.82
Aboubacar Ali,FRA,MF,Strasbourg,18.0,2006.0,6,0,48,0.5,0.0,1.87,1.87,0.0,1.87,0.29,0.15,0.43,0.29,0.43,0.0,0.0,14.0,4.0,4.0
Mohamed Ali Cho,FRA,FW,Nice,20.0,2004.0,14,9,706,7.8,0.0,0.25,0.25,0.0,0.25,0.11,0.21,0.32,0.11,0.32,0.0,0.26,8.59,5.0,2.56
Yanis Ali Issoufou,FRA,FW,Montpellier,17.0,2006.0,1,0,13,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,
Nabil Alioui,FRA,MF,Le Havre,25.0,1999.0,18,12,1009,11.2,0.36,0.09,0.45,0.36,0.45,0.21,0.19,0.41,0.21,0.41,0.0,0.09,6.43,1.96,3.84
Jim Allevinah,GAB,MF,Clermont Foot,29.0,1995.0,27,21,1769,19.7,0.1,0.05,0.15,0.1,0.15,0.11,0.06,0.17,0.11,0.17,0.0,0.0,5.69,4.26,2.59
Skelly Alvero,FRA,MF,Lyon,21.0,2002.0,8,6,426,4.7,0.21,0.0,0.21,0.21,0.21,0.09,0.0,0.09,0.09,0.09,0.0,0.43,2.77,0.64,5.74
Papa Amadou Diallo,SEN,FW,Metz,19.0,2004.0,13,6,624,6.9,0.14,0.0,0.14,0.14,0.14,0.24,0.06,0.3,0.24,0.3,0.0,0.14,6.38,2.75,3.77
Kelvin Amian,FRA,DF,Nantes,26.0,1998.0,9,9,680,7.6,0.0,0.13,0.13,0.0,0.13,0.01,0.05,0.05,0.01,0.05,0.0,0.13,2.37,1.58,3.42
Michael Amir Murillo,PAN,DF,Marseille,28.0,1996.0,13,8,805,8.9,0.22,0.11,0.34,0.22,0.34,0.09,0.06,0.15,0.09,0.15,0.0,0.22,4.49,0.45,3.37
Benjamin André,FRA,MF,Lille,33.0,1990.0,28,27,2390,26.6,0.11,0.0,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14,0.0,0.26,1.13,0.71,6.17
Komnen Andrić,SRB,FW,Clermont Foot,28.0,1995.0,6,1,159,1.8,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,0.0,0.0,12.78,0.0,2.78
Stredair Appuah,FRA,FW,Nantes,19.0,2004.0,4,0,84,0.9,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,0.0,0.0,2.22,3.33,0.0
Yoël Armougom,FRA,DF,Clermont Foot,25.0,1998.0,5,2,234,2.6,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,0.0,0.38,9.62,2.31,4.62
Hákon Arnar Haraldsson,ISL,FW,Lille,21.0,2003.0,23,12,1044,11.6,0.09,0.0,0.09,0.09,0.09,0.05,0.12,0.17,0.05,0.17,0.0,0.26,6.12,1.98,3.62
Mohamed El Arouch,FRA,FW,Lyon,20.0,2004.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Marco Asensio,ESP,MF,Paris S-G,28.0,1996.0,16,11,927,10.3,0.39,0.39,0.78,0.39,0.78,0.26,0.39,0.65,0.26,0.65,0.0,0.0,7.28,2.91,5.34
Joel Asoro,SWE,FW,Metz,25.0,1999.0,20,10,848,9.4,0.21,0.11,0.32,0.21,0.32,0.06,0.03,0.09,0.06,0.09,0.0,0.21,4.57,1.49,1.7
Lorenz Assignon,TOG,DF,Rennes,23.0,2000.0,14,12,1011,11.2,0.09,0.09,0.18,0.09,0.18,0.04,0.16,0.2,0.04,0.2,0.0,0.36,5.98,2.5,4.55
Youcef Atal,ALG,DF,Nice,27.0,1996.0,6,5,359,4.0,0.25,0.0,0.25,0.25,0.25,0.03,0.2,0.24,0.03,0.24,0.0,0.5,1.25,2.25,3.75
Valentin Atangana Edoa,FRA,MF,Reims,18.0,2005.0,15,7,555,6.2,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,0.0,0.0,2.74,1.61,3.39
Arthur Atta,FRA,MF,Metz,21.0,2003.0,19,9,836,9.3,0.11,0.22,0.32,0.11,0.32,0.06,0.13,0.19,0.06,0.19,0.0,0.0,2.15,1.4,4.73
Pierre-Emerick Aubameyang,GAB,FW,Marseille,34.0,1989.0,31,27,2352,26.1,0.54,0.31,0.84,0.42,0.73,0.69,0.21,0.9,0.59,0.81,0.0,0.11,7.82,2.41,2.03
André Ayew,GHA,FW,Le Havre,34.0,1989.0,16,9,834,9.3,0.43,0.0,0.43,0.43,0.43,0.23,0.04,0.27,0.23,0.27,0.11,0.22,6.02,1.29,2.15
Neil El Aynaoui,FRA,MF,Lens,22.0,2001.0,25,17,1566,17.4,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,0.0,0.06,2.53,1.44,3.39
Abdellah Baallal,MAR,MF,Clermont Foot,19.0,2004.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Shavy Babicka,GAB,FW,Toulouse,23.0,2000.0,10,4,340,3.8,0.26,0.0,0.26,0.26,0.26,0.14,0.04,0.18,0.14,0.18,0.0,0.0,14.21,3.16,2.11
Aliou Badara Baldé,SEN,FW,Nice,21.0,2002.0,6,0,63,0.7,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,0.0,0.0,11.43,5.71,2.86
Tiemoué Bakayoko,FRA,MF,Lorient,29.0,1994.0,18,13,1175,13.1,0.15,0.08,0.23,0.15,0.23,0.13,0.04,0.17,0.13,0.17,0.0,0.31,1.07,0.69,3.51
Dilane Bakwa,FRA,FW,Strasbourg,21.0,2002.0,29,23,2009,22.3,0.13,0.22,0.36,0.13,0.36,0.14,0.24,0.38,0.14,0.38,0.04,0.18,8.12,3.68,3.63
Carlos Baleba,CMR,MF,Lille,20.0,2004.0,2,1,61,0.7,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,1.43,1.43,4.29
Leonardo Balerdi,ARG,DF,Marseille,25.0,1999.0,25,24,2091,23.2,0.09,0.0,0.09,0.09,0.09,0.02,0.0,0.03,0.02,0.03,0.04,0.26,0.13,0.65,4.35
Folarin Balogun,USA,FW,Monaco,22.0,2001.0,26,18,1537,17.1,0.41,0.23,0.64,0.41,0.64,0.6,0.16,0.75,0.45,0.61,0.0,0.06,10.64,2.05,1.64
Muhamad Bamba,CIV,FW,Lorient,22.0,2001.0,13,11,891,9.9,0.71,0.0,0.71,0.71,0.71,,,,,,0.0,0.2,,,
Mamady Bangré,BFA,FW,Toulouse,22.0,2001.0,8,0,101,1.1,0.0,0.89,0.89,0.0,0.89,0.12,0.59,0.71,0.12,0.71,0.0,1.82,10.91,9.09,8.18
Bradley Barcola,FRA,FW,Lyon,21.0,2002.0,3,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,0.0,0.33,10.33,3.67,3.0
Bradley Barcola,FRA,FW,Paris S-G,21.0,2002.0,23,16,1218,13.5,0.22,0.44,0.67,0.22,0.67,0.29,0.36,0.65,0.29,0.65,0.07,0.22,14.96,6.3,4.15
Melvin Bard,FRA,DF,Nice,23.0,2000.0,30,29,2490,27.7,0.04,0.07,0.11,0.04,0.11,0.02,0.1,0.12,0.02,0.12,0.0,0.22,3.43,2.06,3.9
Steven Baseya,FRA,DF,Strasbourg,19.0,2005.0,2,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Bechikh,FRA,FW,Strasbourg,18.0,2005.0,2,0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Yanis Begraoui,MAR,FW,Toulouse,22.0,2001.0,14,3,300,3.3,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,0.0,0.0,9.09,2.73,2.42
Jérémie Bela,ANG,MF,Clermont Foot,31.0,1993.0,10,0,133,1.5,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.1,0.04,0.1,0.0,0.0,16.0,8.0,6.67
Reda Belahyane,FRA,MF,Nice,19.0,2004.0,1,0,27,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33
Alaa Bellaarouch,MAR,GK,Strasbourg,22.0,2002.0,12,12,1080,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Ricner Bellegarde,FRA,MF,Strasbourg,25.0,1998.0,3,3,269,3.0,0.67,0.67,1.34,0.67,1.34,0.19,0.51,0.69,0.19,0.69,0.0,0.67,3.33,3.0,3.67
Jeanuël Belocian,FRA,DF,Rennes,19.0,2005.0,22,16,1414,15.7,0.0,0.06,0.06,0.0,0.06,0.03,0.02,0.06,0.03,0.06,0.0,0.0,2.36,0.96,3.57
Eliesse Ben Seghir,MAR,FW,Monaco,19.0,2005.0,11,2,279,3.1,0.32,0.32,0.65,0.32,0.65,0.18,0.05,0.23,0.18,0.23,0.32,0.0,12.26,4.84,3.55
Wissam Ben Yedder,FRA,FW,Monaco,33.0,1990.0,29,23,2046,22.7,0.57,0.04,0.62,0.53,0.57,0.45,0.14,0.58,0.41,0.55,0.0,0.09,8.9,1.98,3.52
Saïd Benrahma,ALG,FW,Lyon,28.0,1995.0,10,8,636,7.1,0.28,0.28,0.57,0.28,0.57,0.2,0.4,0.6,0.2,0.6,0.0,0.28,11.69,5.35,3.8
Nabil Bentaleb,ALG,MF,Lille,29.0,1994.0,23,20,1697,18.9,0.0,0.16,0.16,0.0,0.16,0.01,0.05,0.06,0.01,0.06,0.0,0.32,0.85,0.53,6.3
Lucas Beraldo,BRA,DF,Paris S-G,20.0,2003.0,11,10,848,9.4,0.11,0.0,0.11,0.11,0.11,0.1,0.03,0.13,0.1,0.13,0.11,0.32,0.21,0.32,3.51
Dimitry Bertaud,COD,GK,Montpellier,25.0,1998.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Bizot,NED,GK,Brest,33.0,1991.0,29,29,2606,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.0,0.0,0.03
Rubén Blanco,ESP,GK,Marseille,28.0,1995.0,2,1,121,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
Ludovic Blas,FRA,FW,Rennes,26.0,1997.0,27,18,1519,16.9,0.24,0.06,0.3,0.18,0.24,0.27,0.08,0.36,0.18,0.26,0.0,0.18,8.76,2.6,3.37
Myron Boadu,NED,FW,Monaco,23.0,2001.0,9,0,85,0.9,1.06,0.0,1.06,1.06,1.06,0.46,0.0,0.46,0.46,0.46,0.0,0.0,10.0,3.33,1.11
Jeremie Boga,CIV,FW,Nice,27.0,1997.0,25,21,1745,19.4,0.26,0.21,0.46,0.26,0.46,0.18,0.18,0.36,0.18,0.36,0.0,0.05,7.58,4.9,2.89
Adama Bojang,GAM,FW,Reims,19.0,2004.0,7,0,66,0.7,0.0,0.0,0.0,0.0,0.0,1.14,0.06,1.21,1.14,1.21,0.0,1.43,8.57,1.43,1.43
