Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Benicio Boaitey,ENG,DF,Brighton,20.0,2004.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Oscar Bobb,NOR,FW,Manchester City,20.0,2003.0,3.3,2.12,0.91,0.3,0.61,1.21,0.61,1.21,50.0,0.61,1.21,0.0,1.21,1.21,3.33,0.3,0.0
Jayden Bogle,ENG,DF,Sheffield Utd,23.0,2000.0,28.0,2.18,1.14,1.5,0.61,0.07,1.18,2.32,50.8,1.14,1.43,0.39,1.04,1.04,3.21,3.07,0.0
Willy Boly,CIV,DF,Nott'ham Forest,33.0,1991.0,13.0,3.08,1.77,2.54,0.54,0.0,1.54,2.31,66.7,0.77,1.85,1.31,0.54,1.69,4.77,5.46,0.0
Sven Botman,NED,DF,Newcastle Utd,24.0,2000.0,15.3,1.31,0.85,0.92,0.39,0.0,0.52,0.85,61.5,0.33,1.31,1.05,0.26,0.59,1.9,3.99,0.2
Jarrod Bowen,ENG,FW,West Ham,27.0,1996.0,31.5,1.27,0.83,0.44,0.41,0.41,0.41,1.11,37.1,0.7,1.11,0.16,0.95,0.6,1.87,0.44,0.0
Conor Bradley,NIR,DF,Liverpool,20.0,2003.0,8.1,3.95,2.96,1.6,1.48,0.86,2.84,4.57,62.2,1.73,2.1,0.12,1.98,1.23,5.19,1.73,0.0
Jarrad Branthwaite,ENG,DF,Everton,21.0,2002.0,31.6,1.9,0.95,1.17,0.66,0.06,1.33,1.77,75.0,0.44,1.36,0.98,0.38,1.55,3.45,4.65,0.03
Ben Brereton,CHI,FW,Sheffield Utd,25.0,1999.0,9.5,0.95,0.42,0.42,0.42,0.11,0.42,1.05,40.0,0.63,0.74,0.32,0.42,0.32,1.26,1.26,0.0
Rhian Brewster,ENG,FW,Sheffield Utd,24.0,2000.0,3.4,1.47,0.29,0.29,0.59,0.59,0.0,0.59,0.0,0.59,0.59,0.0,0.59,0.0,1.47,0.59,0.0
Armando Broja,ALB,FW,Chelsea,22.0,2001.0,5.0,0.6,0.0,0.0,0.2,0.4,0.2,0.4,50.0,0.2,1.0,0.2,0.8,0.0,0.6,0.6,0.0
Armando Broja,ALB,FW,Fulham,22.0,2001.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.43,0.0,1.43,0.0,0.0,0.0,0.0
Andre Brooks,ENG,MF,Sheffield Utd,20.0,2003.0,8.8,2.05,1.25,0.8,1.14,0.11,0.8,2.16,36.8,1.36,1.36,0.11,1.25,1.36,3.41,1.82,0.0
David Brooks,WAL,FW,Bournemouth,26.0,1997.0,3.1,1.61,1.29,0.65,0.32,0.65,0.65,1.29,50.0,0.65,0.97,0.0,0.97,0.65,2.26,0.65,0.0
Jacob Brown,SCO,MF,Luton Town,26.0,1998.0,11.3,1.68,1.06,0.62,0.62,0.44,0.62,1.59,38.9,0.97,1.77,0.09,1.68,0.71,2.39,1.95,0.0
Josh Brownhill,ENG,MF,Burnley,28.0,1995.0,23.9,2.3,1.42,0.92,1.0,0.38,1.0,1.42,70.6,0.42,1.34,0.33,1.0,1.38,3.68,1.63,0.04
Jacob Bruun Larsen,DEN,MF,Burnley,25.0,1998.0,11.8,0.59,0.25,0.25,0.17,0.17,0.42,1.36,31.3,0.93,1.1,0.0,1.1,0.51,1.1,1.61,0.0
Hugo Bueno,ESP,DF,Wolves,21.0,2002.0,7.3,2.74,1.92,1.51,0.96,0.27,1.51,2.47,61.1,0.96,2.05,0.55,1.51,0.68,3.42,2.88,0.0
Santiago Bueno,URU,DF,Wolves,25.0,1998.0,8.0,1.5,0.75,0.63,0.88,0.0,0.5,1.13,44.4,0.63,2.5,1.25,1.25,0.75,2.25,3.75,0.0
Facundo Buonanotte,ARG,FW,Brighton,19.0,2004.0,13.0,2.77,1.38,0.62,1.62,0.54,0.92,2.85,32.4,1.92,1.38,0.23,1.15,0.54,3.31,0.31,0.0
Reece Burke,ENG,DF,Luton Town,27.0,1996.0,16.5,2.0,1.27,0.97,0.67,0.36,0.61,1.45,41.7,0.85,1.45,1.09,0.36,1.03,3.03,4.36,0.06
Dan Burn,ENG,DF,Newcastle Utd,31.0,1992.0,26.3,2.05,1.06,1.25,0.72,0.08,0.84,2.17,38.6,1.33,1.79,0.76,1.03,1.33,3.38,4.14,0.04
Mason Burstow,ENG,FW,Chelsea,20.0,2003.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moisés Caicedo,ECU,MF,Chelsea,22.0,2001.0,28.1,2.67,1.39,1.21,1.07,0.39,1.07,1.78,60.0,0.71,1.6,0.68,0.93,1.1,3.77,1.32,0.14
Tom Cairney,SCO,MF,Fulham,33.0,1991.0,15.7,1.46,0.96,0.64,0.7,0.13,0.83,1.59,52.0,0.76,1.02,0.25,0.76,0.83,2.29,0.32,0.0
Dominic Calvert-Lewin,ENG,FW,Everton,27.0,1997.0,21.6,0.56,0.23,0.05,0.28,0.23,0.09,0.65,14.3,0.56,0.6,0.19,0.42,0.19,0.74,1.53,0.0
