Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Davide Bartesaghi,ITA,DF,Milan,18,2005,6,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Federico Baschirotto,ITA,DF,Lecce,27,1996,33,33,2934,32.6,0,1,1,0,0,0,2,1,1.5,1.3,0.7,1.9,23,82,3,0.00,0.03,0.03,0.00,0.03,0.05,0.02,0.07,0.04,0.06
Toma Bašić,CRO,MF,Salernitana,27,1996,12,11,892,9.9,0,0,0,0,0,0,3,0,0.3,0.3,0.5,0.7,10,44,13,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07
Alessandro Bastoni,ITA,DF,Inter,25,1999,26,26,2137,23.7,1,3,4,1,0,0,5,0,1.2,1.2,3.3,4.4,57,128,72,0.04,0.13,0.17,0.04,0.17,0.05,0.14,0.19,0.05,0.19
Simone Bastoni,ITA,MF,Empoli,27,1996,13,6,579,6.4,1,0,1,1,0,0,2,0,0.2,0.2,0.3,0.5,10,23,24,0.16,0.00,0.16,0.16,0.16,0.03,0.05,0.08,0.03,0.08
Reda Belahyane,FRA,MF,Hellas Verona,19,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Raoul Bellanova,ITA,DF,Torino,23,2000,33,32,2750,30.6,1,6,7,1,0,0,5,0,2.0,2.0,4.7,6.7,133,92,186,0.03,0.20,0.23,0.03,0.23,0.07,0.15,0.22,0.07,0.22
Andrea Belotti,ITA,FW,Fiorentina,30,1993,11,9,755,8.4,1,0,1,1,0,0,0,0,2.5,2.5,0.7,3.2,9,12,45,0.12,0.00,0.12,0.12,0.12,0.30,0.08,0.38,0.30,0.38
Andrea Belotti,ITA,FW,Roma,30,1993,14,6,679,7.5,3,2,5,3,0,0,1,0,2.4,2.4,1.2,3.6,15,8,49,0.40,0.27,0.66,0.40,0.66,0.32,0.16,0.48,0.32,0.48
Lucas Beltrán,ARG,FW,Fiorentina,23,2001,27,19,1482,16.5,6,2,8,5,1,1,6,0,3.6,2.8,1.5,4.3,10,42,93,0.36,0.12,0.49,0.30,0.43,0.22,0.09,0.31,0.17,0.26
Ismaël Bennacer,ALG,MF,Milan,26,1997,16,9,822,9.1,0,1,1,0,0,0,1,0,0.3,0.3,0.9,1.3,19,51,22,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14
Domenico Berardi,ITA,FW,Sassuolo,29,1994,17,17,1431,15.9,9,3,12,4,5,5,6,0,6.5,2.6,3.0,5.6,38,83,123,0.57,0.19,0.75,0.25,0.44,0.41,0.19,0.60,0.16,0.35
Bartosz Bereszyński,POL,DF,Empoli,31,1992,20,18,1458,16.2,0,1,1,0,0,0,3,0,0.0,0.0,0.3,0.3,15,61,17,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02
Etrit Berisha,ALB,GK,Empoli,35,1989,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Medon Berisha,ALB,MF,Lecce,20,2003,3,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
Victor Bernth Kristiansen,DEN,DF,Bologna,21,2002,29,23,2037,22.6,0,3,3,0,0,0,4,0,0.3,0.3,2.3,2.6,22,112,68,0.00,0.13,0.13,0.00,0.13,0.01,0.10,0.12,0.01,0.12
Beto,GNB,FW,Udinese,26,1998,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32
Davide Bettella,ITA,MF,Monza,24,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sam Beukema,NED,DF,Bologna,25,1998,28,28,2441,27.1,1,1,2,1,0,0,6,1,1.6,1.6,0.8,2.4,14,74,5,0.04,0.04,0.07,0.04,0.07,0.06,0.03,0.09,0.06,0.09
Jaka Bijol,SVN,DF,Udinese,25,1999,20,19,1724,19.2,0,0,0,0,0,0,4,0,1.2,1.2,0.2,1.4,5,40,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
El Bilal Touré,MLI,FW,Atalanta,22,2001,6,2,274,3.0,2,0,2,2,0,0,1,0,1.2,1.2,0.3,1.5,10,9,24,0.66,0.00,0.66,0.66,0.66,0.38,0.11,0.49,0.38,0.49
Cristiano Biraghi,ITA,DF,Fiorentina,31,1992,25,24,2088,23.2,1,3,4,1,0,1,7,0,1.4,0.7,2.5,3.2,53,118,101,0.04,0.13,0.17,0.04,0.17,0.06,0.11,0.17,0.03,0.14
