Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Thomas Meunier,BEL,DF,Dortmund,32,1991,8,7,586,6.5,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,21,33,25,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.08,0.18
Alexander Meyer,GER,GK,Dortmund,33,1991,7,6,605,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sven Michel,GER,FW,Augsburg,33,1990,20,5,550,6.1,2,1,3,1,1,2,2,0,2.4,0.8,0.6,1.4,6,12,41,0.33,0.16,0.49,0.16,0.33,0.38,0.10,0.48,0.13,0.23
Enzo Millot,FRA,MF,Stuttgart,21,2002,29,25,2068,23.0,5,2,7,4,1,1,5,0,5.1,4.3,3.1,7.5,40,111,160,0.22,0.09,0.30,0.17,0.26,0.22,0.14,0.36,0.19,0.33
Jovan Milošević,SRB,FW,Stuttgart,18,2005,5,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kim Min-jae,KOR,DF,Bayern Munich,27,1996,23,20,1806,20.1,1,1,2,1,0,0,3,0,0.7,0.7,0.4,1.1,14,125,2,0.05,0.05,0.10,0.05,0.10,0.03,0.02,0.05,0.03,0.05
Maximilian Mittelstädt,GER,DF,Stuttgart,27,1997,29,21,1923,21.4,2,4,6,2,0,0,5,0,0.8,0.8,3.7,4.6,66,113,116,0.09,0.19,0.28,0.09,0.28,0.04,0.17,0.21,0.04,0.21
Marko Mladenović,SRB,MF,Eint Frankfurt,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mateu Morey,ESP,DF,Dortmund,24,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Youssoufa Moukoko,GER,FW,Dortmund,19,2004,18,2,445,4.9,3,0,3,3,0,0,1,0,2.2,2.2,0.2,2.5,15,12,22,0.61,0.00,0.61,0.61,0.61,0.45,0.05,0.49,0.45,0.49
Andreas Müller,GER,MF,Darmstadt 98,23,2000,9,1,286,3.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,11,6,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Jannik Müller,GER,DF,Darmstadt 98,30,1994,14,11,987,11.0,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,5,27,7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Kevin Müller,GER,GK,Heidenheim,33,1991,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marcus Müller,GER,MF,Mainz 05,21,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
Thomas Müller,GER,MF,Bayern Munich,34,1989,29,18,1474,16.4,5,7,12,5,0,0,0,0,5.4,5.4,7.9,13.3,33,74,177,0.31,0.43,0.73,0.31,0.73,0.33,0.48,0.81,0.33,0.81
Jamal Musiala,GER,MF,Bayern Munich,21,2003,24,20,1755,19.5,10,5,15,10,0,0,2,0,7.9,7.9,6.0,13.9,103,100,163,0.51,0.26,0.77,0.51,0.77,0.40,0.31,0.71,0.40,0.71
Florent Muslija,KVX,MF,Freiburg,25,1998,8,0,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,5,13,6,0.00,0.00,0.00,0.00,0.00,0.01,0.53,0.55,0.01,0.55
Phillipp Mwene,AUT,DF,Mainz 05,30,1994,22,22,1906,21.2,1,2,3,1,0,0,4,1,1.3,1.3,1.8,3.1,49,70,88,0.05,0.09,0.14,0.05,0.14,0.06,0.09,0.15,0.06,0.15
Joakim Mæhle,DEN,DF,Wolfsburg,26,1997,28,25,2272,25.2,2,3,5,2,0,0,5,0,1.4,1.4,2.7,4.0,81,111,128,0.08,0.12,0.20,0.08,0.20,0.05,0.10,0.16,0.05,0.16
Nathan N'Goumou,FRA,FW,M'Gladbach,24,2000,30,13,1300,14.4,5,2,7,5,0,0,1,0,3.4,3.4,1.5,4.9,49,44,143,0.35,0.14,0.48,0.35,0.48,0.24,0.11,0.34,0.24,0.34
Stanley N'Soki,FRA,DF,Hoffenheim,25,1999,11,7,631,7.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,7,37,14,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Luca Netz,GER,DF,M'Gladbach,20,2003,28,24,2114,23.5,0,4,4,0,0,0,2,0,1.0,1.0,2.9,3.9,44,77,98,0.00,0.17,0.17,0.00,0.17,0.04,0.12,0.16,0.04,0.16
Manuel Neuer,GER,GK,Bayern Munich,38,1986,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florian Neuhaus,GER,MF,M'Gladbach,27,1997,23,15,1202,13.4,3,2,5,3,0,0,4,0,3.5,3.5,1.8,5.4,29,71,42,0.22,0.15,0.37,0.22,0.37,0.26,0.14,0.40,0.26,0.40
Jessic Ngankam,GER,FW,Mainz 05,23,2000,6,2,181,2.0,0,0,0,0,0,0,0,1,0.6,0.6,0.3,0.9,3,1,11,0.00,0.00,0.00,0.00,0.00,0.30,0.14,0.44,0.30,0.44
Jessic Ngankam,GER,FW,Eint Frankfurt,23,2000,15,2,280,3.1,0,0,0,0,0,1,2,0,1.5,0.7,0.0,0.7,2,1,17,0.00,0.00,0.00,0.00,0.00,0.48,0.01,0.49,0.23,0.24
Moritz Nicolas,GER,GK,M'Gladbach,26,1997,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Justin Njinmah,GER,FW,Werder Bremen,23,2000,24,10,1016,11.3,6,2,8,6,0,0,1,0,4.9,4.9,2.4,7.3,36,13,95,0.53,0.18,0.71,0.53,0.71,0.44,0.21,0.65,0.44,0.65
Niels Nkounkou,FRA,DF,Eint Frankfurt,23,2000,26,12,1224,13.6,3,2,5,3,0,0,5,1,1.3,1.3,2.1,3.4,52,55,62,0.22,0.15,0.37,0.22,0.37,0.09,0.15,0.25,0.09,0.25
Felix Nmecha,GER,MF,Dortmund,23,2000,17,8,872,9.7,0,2,2,0,0,0,3,0,1.4,1.4,0.7,2.2,15,37,22,0.00,0.21,0.21,0.00,0.21,0.15,0.08,0.23,0.15,0.23
Lukas Nmecha,GER,FW,Wolfsburg,25,1998,3,0,42,0.5,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.2,0,1,5,2.14,0.00,2.14,2.14,2.14,0.31,0.05,0.35,0.31,0.35
Alexander Nübel,GER,GK,Stuttgart,27,1996,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kasim Nuhu,GHA,DF,Hoffenheim,28,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabian Nürnberger,GER,DF,Darmstadt 98,24,1999,19,15,1368,15.2,1,1,2,1,0,0,2,0,0.7,0.7,1.9,2.6,28,62,84,0.07,0.07,0.13,0.07,0.13,0.05,0.12,0.17,0.05,0.17
Tim Oermann,GER,DF,Bochum,20,2003,13,7,544,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,6,20,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
Masaya Okugawa,JPN,FW,Augsburg,28,1996,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finn Ole Becker,GER,MF,Hoffenheim,23,2000,21,5,587,6.5,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,15,33,23,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
Mathias Olesen,LUX,MF,Köln,23,2001,6,0,112,1.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,2,7,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Dani Olmo,ESP,MF,RB Leipzig,25,1998,20,16,1373,15.3,4,5,9,4,0,0,0,0,3.3,3.3,5.0,8.3,54,63,107,0.26,0.33,0.59,0.26,0.59,0.22,0.33,0.55,0.22,0.55
Jonas Omlin,SUI,GK,M'Gladbach,30,1994,5,5,450,5.0,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.20,0.20,0.00,0.20,0.00,0.07,0.07,0.00,0.07
Karim Onisiwo,AUT,FW,Mainz 05,32,1992,24,17,1493,16.6,1,3,4,1,0,0,1,0,2.3,2.3,1.3,3.7,26,27,111,0.06,0.18,0.24,0.06,0.24,0.14,0.08,0.22,0.14,0.22
Loïs Openda,BEL,FW,RB Leipzig,24,2000,31,30,2441,27.1,24,7,31,22,2,3,4,0,21.6,19.3,5.8,25.0,72,43,199,0.88,0.26,1.14,0.81,1.07,0.80,0.21,1.01,0.71,0.92
Leon Opitz,GER,FW,Werder Bremen,19,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Willi Orban,HUN,DF,RB Leipzig,31,1992,16,15,1312,14.6,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,7,82,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Ivan Ordets,UKR,DF,Bochum,31,1992,21,18,1610,17.9,1,0,1,1,0,0,3,0,1.1,1.1,0.5,1.6,5,38,7,0.06,0.00,0.06,0.06,0.06,0.06,0.03,0.09,0.06,0.09
Patrick Osterhage,GER,MF,Bochum,24,2000,21,18,1636,18.2,2,0,2,2,0,0,5,0,1.4,1.4,0.5,1.9,25,55,63,0.11,0.00,0.11,0.11,0.11,0.08,0.03,0.10,0.08,0.10
Salih Özcan,TUR,MF,Dortmund,26,1998,21,12,1111,12.3,0,0,0,0,0,0,3,0,0.2,0.2,1.0,1.1,15,54,24,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09
Willian Pacho,ECU,DF,Eint Frankfurt,22,2001,30,30,2700,30.0,0,3,3,0,0,0,7,0,1.2,1.2,1.1,2.3,22,133,4,0.00,0.10,0.10,0.00,0.10,0.04,0.04,0.08,0.04,0.08
Gonçalo Paciência,POR,FW,Bochum,29,1994,18,6,636,7.1,3,1,4,3,0,0,3,0,2.7,2.7,1.3,4.0,9,21,46,0.42,0.14,0.57,0.42,0.57,0.38,0.19,0.56,0.38,0.56
Exequiel Palacios,ARG,MF,Leverkusen,25,1998,22,19,1672,18.6,3,4,7,2,1,1,6,0,2.2,1.4,3.8,5.2,23,157,43,0.16,0.22,0.38,0.11,0.32,0.12,0.20,0.32,0.08,0.28
Miloš Pantović,SRB,MF,Union Berlin,27,1996,1,0,15,0.2,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,1,0,1,6.00,0.00,6.00,6.00,6.00,4.55,0.00,4.55,4.55,4.55
Antonios Papadopoulos,GER,DF,Dortmund,24,1999,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matondo-Merveille Papela,GER,MF,Mainz 05,23,2001,11,3,257,2.9,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,6,12,10,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.22,0.11,0.22
