Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Yerson Mosquera,COL,DF,Villarreal,23,2001,13,11,959,10.7,2,0,2,2,0,0,3,0,1.0,1.0,0.2,1.2,8,35,11,0.19,0.00,0.19,0.19,0.19,0.09,0.02,0.11,0.09,0.11
Abdul Mumin,GHA,DF,Rayo Vallecano,25,1998,18,17,1514,16.8,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,6,37,3,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03
Iker Muniain,ESP,MF,Athletic Club,31,1992,19,4,532,5.9,1,0,1,1,0,0,1,0,1.5,1.5,0.4,1.9,17,40,45,0.17,0.00,0.17,0.17,0.17,0.25,0.07,0.31,0.25,0.31
Aihen Muñoz,ESP,DF,Real Sociedad,26,1997,21,11,1127,12.5,0,2,2,0,0,0,2,0,0.3,0.3,2.0,2.2,24,39,23,0.00,0.16,0.16,0.00,0.16,0.02,0.16,0.18,0.02,0.18
Álvaro Muñoz,URU,FW,Real Madrid,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iker Muñoz,ESP,MF,Osasuna,21,2002,25,17,1584,17.6,4,0,4,4,0,0,3,0,1.0,1.0,0.2,1.2,12,69,18,0.23,0.00,0.23,0.23,0.23,0.06,0.01,0.07,0.06,0.07
Javier Muñoz,ESP,MF,Las Palmas,29,1995,34,28,2434,27.0,2,3,5,2,0,0,6,0,2.4,2.4,1.3,3.7,29,107,112,0.07,0.11,0.18,0.07,0.18,0.09,0.05,0.14,0.09,0.14
Vedat Muriqi,KVX,FW,Mallorca,30,1994,27,24,2203,24.5,6,2,8,5,1,3,5,0,8.9,6.5,2.4,9.0,19,38,126,0.25,0.08,0.33,0.20,0.29,0.36,0.10,0.46,0.27,0.37
Nacho,ESP,DF,Real Madrid,34,1990,26,16,1563,17.4,0,1,1,0,0,0,3,2,0.5,0.5,1.2,1.7,11,51,9,0.00,0.06,0.06,0.00,0.06,0.03,0.07,0.10,0.03,0.10
Matija Nastasić,SRB,DF,Mallorca,31,1993,25,24,2168,24.1,2,0,2,2,0,0,8,0,1.0,1.0,0.6,1.6,11,61,4,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.07,0.04,0.07
Roberto Navarro,ESP,MF,Cádiz,22,2002,25,21,1657,18.4,1,1,2,1,0,0,0,1,1.8,1.8,2.4,4.2,72,60,103,0.05,0.05,0.11,0.05,0.11,0.10,0.13,0.23,0.10,0.23
Jesús Navas,ESP,DF,Sevilla,38,1985,27,23,1876,20.8,0,2,2,0,0,0,5,1,0.1,0.1,1.6,1.7,52,97,130,0.00,0.10,0.10,0.00,0.10,0.01,0.08,0.08,0.01,0.08
Álvaro Negredo,ESP,FW,Cádiz,38,1985,7,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.16,0.13,0.28,0.16,0.28
Carlos Neva,ESP,DF,Granada,27,1996,34,34,2966,33.0,0,2,2,0,0,0,3,0,0.1,0.1,3.2,3.3,38,98,91,0.00,0.06,0.06,0.00,0.06,0.00,0.10,0.10,0.00,0.10
Tanguy Nianzou,FRA,DF,Sevilla,21,2002,8,3,318,3.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2,14,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Saúl Ñíguez,ESP,MF,Atlético Madrid,29,1994,32,14,1339,14.9,1,4,5,1,0,0,8,0,1.5,1.5,3.2,4.6,21,34,43,0.07,0.27,0.34,0.07,0.34,0.10,0.21,0.31,0.10,0.31
Peru Nolaskoain,ESP,DF,Athletic Club,25,1998,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Randy Ntekja,FRA,FW,Rayo Vallecano,26,1997,15,3,569,6.3,1,1,2,0,1,1,2,0,1.9,1.1,0.9,2.1,11,15,34,0.16,0.16,0.32,0.00,0.16,0.30,0.15,0.45,0.18,0.32
Unai Núñez,ESP,DF,Celta Vigo,27,1997,33,31,2789,31.0,1,0,1,1,0,0,4,0,1.4,1.4,0.8,2.2,10,106,2,0.03,0.00,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07
Ørjan Nyland,NOR,GK,Sevilla,33,1990,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Jan Oblak,SVN,GK,Atlético Madrid,31,1993,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brian Ocampo,URU,MF,Cádiz,24,1999,10,0,144,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,9,3,10,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14
Lucas Ocampos,ARG,FW,Sevilla,29,1994,32,31,2608,29.0,4,3,7,3,1,1,6,0,5.1,4.3,4.2,8.5,105,107,241,0.14,0.10,0.24,0.10,0.21,0.18,0.15,0.32,0.15,0.29
Álvaro Odriozola,ESP,DF,Real Sociedad,28,1995,8,5,319,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Olasagasti,ESP,MF,Real Sociedad,23,2000,12,2,313,3.5,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,5,12,10,0.00,0.00,0.00,0.00,0.00,0.23,0.09,0.32,0.23,0.32
Samuel Omorodion,ESP,FW,Alavés,20,2004,31,20,1777,19.7,8,1,9,8,0,0,5,0,9.7,9.7,1.2,10.9,28,17,97,0.41,0.05,0.46,0.41,0.46,0.49,0.06,0.55,0.49,0.55
Samuel Omorodion,ESP,FW,Granada,20,2004,1,1,80,0.9,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,0,3,1.13,0.00,1.13,1.13,1.13,0.78,0.05,0.84,0.78,0.84
Aimar Oroz,ESP,MF,Osasuna,22,2001,30,24,2135,23.7,1,1,2,0,1,1,3,0,2.5,1.7,1.5,3.2,50,97,115,0.04,0.04,0.08,0.00,0.04,0.10,0.06,0.17,0.07,0.14
Asier Osambela,ESP,MF,Osasuna,20,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
Milutin Osmajić,MNE,MF,Cádiz,24,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.46,0.80,2.26,1.46,2.26
