Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Josh Cullen,IRL,MF,Burnley,28,1996,22,20,1798,20.0,1,3,4,1,0,0,8,0,0.4,0.4,1.7,2.1,21,104,18,0.05,0.15,0.20,0.05,0.20,0.02,0.09,0.10,0.02,0.10
Matheus Cunha,BRA,FW,Wolves,24,1999,29,26,2198,24.4,11,7,18,10,1,1,8,0,8.8,8.0,3.1,11.2,99,73,122,0.45,0.29,0.74,0.41,0.70,0.36,0.13,0.49,0.33,0.46
Mahmoud Dahoud,GER,MF,Brighton,28,1996,9,6,452,5.0,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4,11,6,0.00,0.20,0.20,0.00,0.20,0.04,0.18,0.22,0.04,0.22
Ameen Al-Dakhil,BEL,DF,Burnley,22,2002,13,12,1056,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,7,35,9,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12
Diogo Dalot,POR,DF,Manchester Utd,25,1999,32,31,2814,31.3,1,3,4,1,0,0,6,1,1.1,1.1,2.7,3.7,47,112,101,0.03,0.10,0.13,0.03,0.13,0.04,0.08,0.12,0.04,0.12
Mikkel Damsgaard,DEN,MF,Brentford,23,2000,20,5,660,7.3,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,10,52,28,0.00,0.27,0.27,0.00,0.27,0.13,0.20,0.32,0.13,0.32
Danilo,BRA,MF,Nott'ham Forest,23,2001,26,17,1533,17.0,2,1,3,2,0,0,4,0,1.6,1.6,1.1,2.7,18,71,25,0.12,0.06,0.18,0.12,0.18,0.09,0.07,0.16,0.09,0.16
Arnaut Danjuma,NED,MF,Everton,27,1997,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,24,9,44,0.15,0.00,0.15,0.15,0.15,0.40,0.17,0.57,0.40,0.57
Jayden Danns,ENG,FW,Liverpool,18,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josh Dasilva,ENG,DF,Brentford,25,1998,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.72,0.00,0.72
David Datro Fofana,CIV,FW,Burnley,21,2002,13,10,869,9.7,4,1,5,4,0,0,1,0,4.5,4.5,1.8,6.3,21,14,37,0.41,0.10,0.52,0.41,0.52,0.47,0.19,0.66,0.47,0.66
Ben Davies,WAL,DF,Tottenham,31,1993,17,12,1090,12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,13,71,20,0.08,0.00,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23
Tom Davies,ENG,MF,Sheffield Utd,25,1998,9,2,221,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,3,8,3,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17
Craig Dawson,ENG,DF,Wolves,33,1990,25,25,2209,24.5,1,1,2,1,0,0,7,0,1.5,1.5,1.4,2.9,1,49,4,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12
Kevin De Bruyne,BEL,MF,Manchester City,32,1991,14,11,911,10.1,4,8,12,4,0,0,2,0,1.7,1.7,8.4,10.1,36,89,100,0.40,0.79,1.19,0.40,1.19,0.17,0.83,1.00,0.17,1.00
Hannes Delcroix,BEL,DF,Burnley,25,1999,12,5,589,6.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2,18,6,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09
Leander Dendoncker,BEL,MF,Aston Villa,29,1995,8,1,119,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,0,3,2,0.76,0.00,0.76,0.76,0.76,0.56,0.00,0.56,0.56,0.56
Moussa Diaby,FRA,FW,Aston Villa,24,1999,35,22,1926,21.4,6,7,13,6,0,0,1,0,6.1,6.1,5.7,11.7,83,65,169,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.55,0.28,0.55
Amad Diallo,CIV,FW,Manchester Utd,21,2002,5,0,155,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,5,5,18,0.00,0.00,0.00,0.00,0.00,0.16,0.14,0.30,0.16,0.30
Amadou Diallo,ENG,MF,Newcastle Utd,21,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rúben Dias,POR,DF,Manchester City,26,1997,27,25,2289,25.4,0,0,0,0,0,0,0,0,1.2,1.2,0.3,1.5,34,166,15,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
Luis Díaz,COL,FW,Liverpool,27,1997,34,29,2410,26.8,8,5,13,8,0,0,3,0,11.1,11.1,5.1,16.2,123,109,280,0.30,0.19,0.49,0.30,0.49,0.42,0.19,0.61,0.42,0.61
Eric Dier,ENG,DF,Tottenham,30,1994,4,1,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucas Digne,FRA,DF,Aston Villa,30,1993,30,24,2141,23.8,1,3,4,1,0,0,6,0,1.1,1.1,3.8,4.8,39,71,188,0.04,0.13,0.17,0.04,0.17,0.04,0.16,0.20,0.04,0.20
Issa Diop,FRA,DF,Fulham,27,1997,16,14,1245,13.8,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,11,65,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Axel Disasi,FRA,DF,Chelsea,26,1998,30,29,2571,28.6,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,30,112,21,0.07,0.00,0.07,0.07,0.07,0.09,0.01,0.09,0.09,0.09
Ben Doak,SCO,FW,Liverpool,18,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lewis Dobbin,ENG,MF,Everton,21,2003,11,1,210,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.7,6,3,16,0.43,0.00,0.43,0.43,0.43,0.12,0.16,0.28,0.12,0.28
