Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Bamba Dieng,SEN,FW,Lorient,24,2000,14,5,485,5.4,2,1,3,2,0,0,2,0,1.9,1.9,1.4,3.3,5,4,36,0.37,0.19,0.56,0.37,0.56,0.35,0.25,0.61,0.35,0.61
Guillaume Dietsch,FRA,GK,Metz,23,2001,1,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sinaly Diomande,CIV,DF,Lyon,23,2001,10,10,889,9.9,0,0,0,0,0,0,2,0,1.0,1.0,0.7,1.7,5,43,0,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17
Edan Diop,FRA,MF,Monaco,19,2004,9,0,158,1.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,4,6,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sofiane Diop,FRA,FW,Nice,23,2000,10,6,499,5.5,0,0,0,0,0,0,0,0,1.2,1.2,0.8,2.0,20,17,43,0.00,0.00,0.00,0.00,0.00,0.22,0.14,0.36,0.22,0.36
Andy Diouf,FRA,MF,Lens,20,2003,25,16,1314,14.6,1,0,1,1,0,0,2,0,1.5,1.5,1.1,2.6,63,80,55,0.07,0.00,0.07,0.07,0.07,0.10,0.08,0.18,0.10,0.18
Yehvann Diouf,FRA,GK,Reims,24,1999,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chaim El Djebali,TUN,MF,Lyon,20,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jeremy Doku,BEL,FW,Rennes,21,2002,2,1,111,1.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,11,5,19,0.81,0.00,0.81,0.81,0.81,0.48,0.16,0.64,0.48,0.64
Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999,25,25,2169,24.1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
