Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Performance_rating
Manuel Lazzari,ITA,DF,Lazio,30.0,1993.0,22,18,1561,17.3,0.0,0.12,0.06,0.17,DF,Lazio,1.5,1.04,1.04,1.56,66.7,0.52,0.98,0.23,0.75,0.69,2.2,1.91,0.06,8.9
Diego Llorente,ESP,DF,Roma,30.0,1993.0,27,25,1990,22.1,0.05,0.05,0.0,0.23,DF,Roma,1.4,0.86,0.5,1.04,47.8,0.54,1.72,1.13,0.59,0.86,2.26,3.12,0.0,11.62
Jhon Lucumí,COL,DF,Bologna,25.0,1998.0,25,19,1857,20.6,0.0,0.0,0.0,0.0,DF,Bologna,2.14,1.31,1.31,1.7,77.1,0.39,1.26,0.68,0.58,0.53,2.67,2.96,0.0,11.44
Sebastiano Luperto,ITA,DF,Empoli,27.0,1996.0,34,34,3060,34.0,0.03,0.03,0.0,0.12,DF,Empoli,0.97,0.68,0.41,0.68,60.9,0.26,1.24,0.97,0.26,0.79,1.76,4.21,0.03,12.92
Giangiacomo Magnani,ITA,DF,Hellas Verona,28.0,1995.0,29,25,2250,25.0,0.0,0.0,0.0,0.2,DF,Hellas Verona,1.24,0.72,0.56,0.96,58.3,0.4,1.92,1.12,0.8,1.64,2.88,4.56,0.0,16.0
Gianluca Mancini,ITA,DF,Roma,28.0,1996.0,33,32,2679,29.8,0.13,0.03,0.0,0.3,DF,Roma,0.97,0.54,0.27,0.81,33.3,0.54,1.17,0.81,0.37,1.01,1.98,2.35,0.03,9.86
Gian Marco Ferrari,ITA,DF,Sassuolo,32.0,1992.0,27,21,1912,21.2,0.05,0.0,0.0,0.19,DF,Sassuolo,0.94,0.38,0.57,0.85,66.7,0.28,1.08,0.61,0.47,0.94,1.89,2.83,0.0,9.73
Pablo Marí,ESP,DF,Monza,30.0,1993.0,30,26,2273,25.3,0.0,0.0,0.0,0.28,DF,Monza,1.46,0.87,0.75,1.07,70.4,0.32,1.34,0.79,0.55,1.26,2.73,4.03,0.04,14.09
Lucas Martínez Quarta,ARG,DF,Fiorentina,27.0,1996.0,25,23,1996,22.2,0.23,0.0,0.0,0.36,DF,Fiorentina,2.79,1.8,1.4,2.03,68.9,0.63,1.62,0.63,0.99,1.22,4.01,2.7,0.18,15.12
Adam Marušić,MNE,DF,Lazio,31.0,1992.0,33,33,2740,30.4,0.03,0.0,0.03,0.1,DF,Lazio,1.32,0.89,0.82,1.51,54.3,0.69,0.79,0.23,0.56,0.95,2.27,1.97,0.07,9.31
Nikola Milenković,SRB,DF,Fiorentina,26.0,1997.0,30,23,2175,24.2,0.0,0.0,0.0,0.17,DF,Fiorentina,1.53,0.74,0.79,1.32,59.4,0.54,0.83,0.54,0.29,0.99,2.52,3.55,0.04,12.04
Obite N'Dicka,CIV,DF,Roma,24.0,1999.0,21,21,1808,20.1,0.0,0.15,0.0,0.25,DF,Roma,1.34,0.75,0.55,0.9,61.1,0.35,1.14,0.6,0.55,0.65,1.99,2.74,0.0,9.88
Caleb Okoli,ITA,DF,Frosinone,22.0,2001.0,30,28,2563,28.5,0.0,0.04,0.0,0.28,DF,Frosinone,1.65,0.98,0.81,1.26,63.9,0.46,1.51,1.09,0.42,0.91,2.56,4.53,0.14,14.29
