Player,Nation,Pos_x,Squad_x,Age,Born,MP_x,Starts_x,Min_x,90s,Gls/90,Ast/90,CrdR/90,CrdY/90,Pos_y,Squad_y,MP_y,Starts_y,Min_y,GA,GA90,SoTA,Saves,Save%,CS,PKsv,PKm,PSave%,Performance_rating
Lucas Chevalier,FRA,GK,Lille,22.0,2001.0,31,31,2790,31.0,0.0,0.0,0.0,0.03,GK,Lille,31,31,2790,0.87,0.87,3.61,2.74,78.6,0.48,0.06,0.0,40.0,2.5
Grégoire Coudert,FRA,GK,Brest,25.0,1999.0,3,2,181,2.0,0.0,0.0,0.0,0.0,GK,Brest,3,2,181,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,,4.0
Rémy Descamps,FRA,GK,Nantes,27.0,1996.0,6,6,540,6.0,0.0,0.0,0.0,0.17,GK,Nantes,6,6,540,1.83,1.83,6.17,4.33,73.0,0.17,0.0,0.17,0.0,1.43
Arthur Desmas,FRA,GK,Le Havre,30.0,1994.0,30,30,2700,30.0,0.0,0.0,0.0,0.03,GK,Le Havre,30,30,2700,1.3,1.3,4.6,3.33,72.5,0.23,0.03,0.03,50.0,1.63
Mory Diaw,SEN,GK,Clermont Foot,30.0,1993.0,27,27,2430,27.0,0.0,0.0,0.0,0.07,GK,Clermont Foot,27,27,2430,1.63,1.63,6.22,4.59,76.8,0.19,0.04,0.04,16.7,1.62
Guillaume Dietsch,FRA,GK,Metz,23.0,2001.0,1,0,73,0.8,0.0,0.0,0.0,0.0,GK,Metz,1,0,73,1.25,1.23,3.75,2.5,66.7,0.0,0.0,0.0,,0.62
Yehvann Diouf,FRA,GK,Reims,24.0,1999.0,31,31,2790,31.0,0.0,0.0,0.0,0.03,GK,Reims,31,31,2790,1.45,1.45,4.0,2.55,68.5,0.23,0.03,0.0,14.3,1.71
Gianluigi Donnarumma,ITA,GK,Paris S-G,25.0,1999.0,25,25,2169,24.1,0.0,0.0,0.04,0.12,GK,Paris S-G,25,25,2169,0.83,0.83,4.56,3.69,84.5,0.41,0.04,0.0,25.0,1.94
Mathieu Gorgelin,FRA,GK,Le Havre,33.0,1990.0,1,1,90,1.0,0.0,0.0,0.0,1.0,GK,Le Havre,1,1,90,2.0,2.0,5.0,3.0,80.0,0.0,0.0,0.0,0.0,0.0
Philipp Köhn,SUI,GK,Monaco,26.0,1998.0,22,22,1980,22.0,0.0,0.0,0.0,0.0,GK,Monaco,22,22,1980,1.45,1.45,4.41,2.95,72.2,0.23,0.05,0.0,16.7,1.79
