Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Int,Performance_rating
Martín Payero,ARG,MF,Udinese,25.0,1998.0,26,18,1526,17.0,0.12,0.06,0.18,0.12,0.18,0.08,0.05,0.13,0.08,0.13,0.06,0.29,3.41,2.47,3.71,MF,Udinese,2.41,1.53,0.94,2.29,41.0,1.35,0.82,15.14
Lorenzo Pellegrini,ITA,MF,Roma,27.0,1996.0,25,17,1609,17.9,0.39,0.17,0.56,0.39,0.56,0.18,0.12,0.3,0.18,0.3,0.0,0.39,4.86,2.12,4.19,MF,Roma,1.84,1.06,0.89,2.51,35.6,1.62,1.12,16.81
Matteo Pessina,ITA,MF,Monza,27.0,1997.0,33,33,2862,31.8,0.19,0.06,0.25,0.06,0.13,0.19,0.03,0.22,0.06,0.1,0.03,0.16,1.42,1.95,5.19,MF,Monza,1.32,0.72,0.69,1.42,48.9,0.72,0.79,17.11
Matteo Prati,ITA,MF,Cagliari,20.0,2003.0,23,17,1768,19.6,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.11,0.08,0.11,0.0,0.2,0.77,0.41,3.21,MF,Cagliari,1.99,1.12,1.12,1.89,59.5,0.77,0.71,7.45
Adrien Rabiot,FRA,MF,Juventus,29.0,1995.0,28,27,2401,26.7,0.15,0.11,0.26,0.15,0.26,0.12,0.15,0.27,0.12,0.26,0.0,0.22,3.71,2.25,3.97,MF,Juventus,1.95,1.27,1.12,1.61,69.8,0.49,0.94,15.55
Ylber Ramadani,ALB,MF,Lecce,28.0,1996.0,30,30,2637,29.3,0.03,0.0,0.03,0.03,0.03,0.04,0.02,0.05,0.04,0.05,0.0,0.41,0.41,1.06,3.75,MF,Lecce,2.08,1.19,1.13,2.87,39.3,1.74,1.43,10.42
Tijjani Reijnders,NED,MF,Milan,25.0,1998.0,32,29,2460,27.3,0.07,0.11,0.18,0.07,0.18,0.11,0.13,0.24,0.11,0.24,0.0,0.26,2.93,2.6,6.34,MF,Milan,1.5,0.84,0.66,1.43,46.2,0.77,0.51,20.9
Samuele Ricci,ITA,MF,Torino,22.0,2001.0,28,24,2035,22.6,0.04,0.09,0.13,0.04,0.13,0.06,0.1,0.15,0.06,0.15,0.04,0.31,3.05,1.95,4.91,MF,Torino,1.15,0.58,0.49,0.75,64.7,0.27,0.88,15.71
Marten de Roon,NED,MF,Atalanta,33.0,1991.0,28,27,2419,26.9,0.0,0.19,0.19,0.0,0.19,0.02,0.04,0.06,0.02,0.06,0.0,0.37,0.71,0.86,6.02,MF,Atalanta,2.83,1.49,1.26,2.94,43.0,1.67,1.38,14.82
Lazar Samardzic,SRB,MF,Udinese,22.0,2002.0,30,24,2013,22.4,0.18,0.09,0.27,0.18,0.27,0.09,0.17,0.27,0.09,0.27,0.0,0.13,3.35,2.5,3.17,MF,Udinese,1.34,0.63,0.49,1.38,35.5,0.89,0.45,14.88
Tomáš Suslov,SVK,MF,Hellas Verona,21.0,2002.0,28,21,1885,20.9,0.05,0.19,0.24,0.0,0.19,0.13,0.1,0.23,0.08,0.19,0.0,0.29,2.97,1.77,2.63,MF,Hellas Verona,1.77,1.2,0.57,2.01,28.6,1.44,0.24,11.1
Kristian Thorstvedt,NOR,MF,Sassuolo,25.0,1999.0,30,26,2127,23.6,0.25,0.04,0.3,0.25,0.3,0.16,0.06,0.22,0.16,0.22,0.0,0.25,3.35,1.1,5.0,MF,Sassuolo,1.48,0.81,0.81,1.57,51.4,0.76,0.85,14.42
Nikola Vlašić,CRO,MF,Torino,26.0,1997.0,32,29,2581,28.7,0.1,0.07,0.17,0.1,0.17,0.08,0.1,0.18,0.08,0.18,0.0,0.1,5.99,2.26,5.23,MF,Torino,0.98,0.56,0.14,1.05,13.3,0.91,0.38,17.85
Walace,BRA,MF,Udinese,29.0,1995.0,33,33,2883,32.0,0.06,0.0,0.06,0.06,0.06,0.02,0.03,0.06,0.02,0.06,0.0,0.22,0.59,1.03,3.28,MF,Udinese,1.81,1.25,1.0,2.13,47.1,1.13,1.16,9.73
Andre-Frank Zambo Anguissa,CMR,MF,Napoli,28.0,1995.0,30,28,2436,27.1,0.0,0.07,0.07,0.0,0.07,0.12,0.11,0.23,0.12,0.23,0.0,0.07,4.54,1.4,5.28,MF,Napoli,2.07,1.11,1.18,2.36,50.0,1.18,0.92,14.9
Piotr Zieliński,POL,MF,Napoli,29.0,1994.0,28,23,1924,21.4,0.14,0.09,0.23,0.09,0.19,0.12,0.16,0.28,0.08,0.24,0.0,0.05,4.11,1.78,6.12,MF,Napoli,1.07,0.7,0.56,1.12,50.0,0.56,0.42,18.5
