Player,Nation,Pos_x,Squad_x,Age,Born,MP,Starts,Min,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Pos_y,Squad_y,Tkl,TklW,Tkl.1,Att,Tkl%,Lost,Int,Performance_rating
Grischa Prömel,GER,MF,Hoffenheim,29.0,1995.0,25,24,1899,21.1,0.19,0.24,0.43,0.19,0.43,0.17,0.13,0.3,0.17,0.3,0.05,0.43,2.37,1.61,3.89,MF,Hoffenheim,1.42,0.85,0.57,1.42,40.0,0.85,0.9,13.7
Rocco Reitz,GER,MF,M'Gladbach,21.0,2002.0,31,21,1880,20.9,0.29,0.1,0.38,0.29,0.38,0.15,0.1,0.25,0.15,0.25,0.0,0.1,2.49,1.82,4.83,MF,M'Gladbach,2.34,1.29,1.15,2.25,51.1,1.1,1.87,16.77
Elvis Rexhbeçaj,GER,MF,Augsburg,26.0,1997.0,25,24,1985,22.1,0.09,0.0,0.09,0.05,0.05,0.08,0.02,0.1,0.04,0.07,0.0,0.18,2.31,0.68,4.12,MF,Augsburg,1.36,0.86,0.81,1.63,50.0,0.81,0.9,10.55
Marcel Sabitzer,AUT,MF,Dortmund,30.0,1994.0,23,22,1853,20.6,0.19,0.15,0.34,0.15,0.29,0.16,0.09,0.25,0.13,0.21,0.05,0.15,3.16,1.84,5.05,MF,Dortmund,1.84,1.12,1.07,1.99,53.7,0.92,0.53,16.72
Xaver Schlager,AUT,MF,RB Leipzig,26.0,1997.0,28,28,2462,27.4,0.0,0.18,0.18,0.0,0.18,0.04,0.09,0.13,0.04,0.13,0.0,0.26,1.64,2.59,8.36,MF,RB Leipzig,2.92,1.82,0.77,1.93,39.6,1.17,0.69,24.77
Romano Schmid,AUT,MF,Werder Bremen,24.0,2000.0,30,27,2332,25.9,0.12,0.19,0.31,0.12,0.31,0.17,0.23,0.39,0.17,0.39,0.0,0.19,5.71,2.55,4.98,MF,Werder Bremen,1.2,0.66,0.46,1.47,31.6,1.0,0.35,18.59
Jan Schöppner,GER,MF,Heidenheim,24.0,1999.0,23,20,1732,19.2,0.1,0.1,0.21,0.1,0.21,0.06,0.08,0.13,0.06,0.13,0.0,0.16,1.51,0.73,3.23,MF,Heidenheim,2.4,1.3,1.04,1.98,52.6,0.94,1.2,9.29
Xavi Simons,NED,MF,RB Leipzig,21.0,2003.0,30,30,2493,27.7,0.25,0.4,0.65,0.25,0.65,0.25,0.35,0.6,0.23,0.57,0.0,0.29,7.36,5.2,6.28,MF,RB Leipzig,1.05,0.58,0.54,1.08,50.0,0.54,0.54,30.32
Ellyes Skhiri,TUN,MF,Eint Frankfurt,28.0,1995.0,24,21,1947,21.6,0.09,0.09,0.18,0.09,0.18,0.1,0.04,0.14,0.1,0.14,0.0,0.05,1.16,0.37,4.44,MF,Eint Frankfurt,1.81,1.02,0.88,1.62,54.3,0.74,1.62,10.66
Anton Stach,GER,MF,Hoffenheim,25.0,1998.0,28,23,2117,23.5,0.09,0.13,0.21,0.09,0.21,0.07,0.14,0.21,0.07,0.21,0.0,0.17,1.83,2.0,5.45,MF,Hoffenheim,2.94,1.7,1.4,2.6,54.1,1.19,2.85,17.57
Jens Stage,DEN,MF,Werder Bremen,27.0,1996.0,27,26,2244,24.9,0.08,0.04,0.12,0.08,0.12,0.16,0.07,0.23,0.16,0.23,0.04,0.2,2.17,0.8,3.25,MF,Werder Bremen,2.01,0.88,0.68,1.65,41.5,0.96,0.88,9.1
Angelo Stiller,GER,MF,Stuttgart,23.0,2001.0,28,27,2424,26.9,0.04,0.19,0.22,0.04,0.22,0.06,0.18,0.23,0.06,0.23,0.0,0.19,2.3,1.19,7.29,MF,Stuttgart,1.75,1.04,0.78,1.38,56.8,0.59,1.04,18.73
Kevin Stöger,AUT,MF,Bochum,30.0,1993.0,29,29,2398,26.6,0.26,0.34,0.6,0.11,0.45,0.22,0.31,0.53,0.1,0.41,0.0,0.3,4.77,2.74,9.81,MF,Bochum,1.73,1.05,0.9,2.26,40.0,1.35,0.68,29.86
Mattias Svanberg,SWE,MF,Wolfsburg,25.0,1999.0,25,20,1715,19.1,0.05,0.16,0.21,0.05,0.21,0.15,0.12,0.28,0.15,0.28,0.0,0.42,2.72,1.47,4.4,MF,Wolfsburg,1.94,0.89,0.63,1.99,31.6,1.36,1.1,13.52
Ruben Vargas,SUI,MF,Augsburg,25.0,1998.0,29,23,1865,20.7,0.14,0.24,0.39,0.14,0.39,0.15,0.1,0.26,0.15,0.26,0.0,0.14,6.43,2.66,3.53,MF,Augsburg,1.11,0.48,0.48,1.21,40.0,0.72,0.34,16.32
Julian Weigl,GER,MF,M'Gladbach,28.0,1995.0,28,28,2494,27.7,0.07,0.11,0.18,0.0,0.11,0.08,0.07,0.14,0.02,0.09,0.0,0.36,0.43,0.47,3.36,MF,M'Gladbach,2.09,1.3,1.26,1.99,63.6,0.72,1.48,8.45
Florian Wirtz,GER,MF,Leverkusen,21.0,2003.0,31,26,2344,26.0,0.42,0.42,0.84,0.38,0.81,0.33,0.28,0.61,0.31,0.59,0.0,0.12,11.62,5.19,8.5,MF,Leverkusen,1.0,0.69,0.35,1.08,32.1,0.73,0.35,35.81
Granit Xhaka,SUI,MF,Leverkusen,31.0,1992.0,30,30,2650,29.4,0.07,0.0,0.07,0.07,0.07,0.05,0.09,0.14,0.05,0.14,0.0,0.17,1.63,1.97,12.65,MF,Leverkusen,0.95,0.68,0.27,0.95,28.6,0.68,0.58,31.39
Michel Aebischer,SUI,MF,Bologna,27.0,1997.0,33,23,1969,21.9,0.0,0.05,0.05,0.0,0.05,0.05,0.06,0.11,0.05,0.11,0.0,0.27,2.37,0.96,5.21,MF,Bologna,1.28,0.82,0.55,1.37,40.0,0.82,0.5,13.18
Luis Alberto,ESP,MF,Lazio,31.0,1992.0,31,28,2228,24.8,0.2,0.28,0.48,0.2,0.48,0.19,0.19,0.38,0.19,0.38,0.0,0.28,4.88,3.15,8.23,MF,Lazio,1.33,0.77,0.56,2.02,28.0,1.45,0.28,27.47
Milan Badelj,CRO,MF,Genoa,35.0,1989.0,30,29,2298,25.5,0.0,0.12,0.12,0.0,0.12,0.04,0.04,0.08,0.04,0.08,0.0,0.24,1.1,0.63,5.29,MF,Genoa,1.88,1.02,0.9,2.2,41.1,1.29,1.92,12.59
Nicolò Barella,ITA,MF,Inter,27.0,1997.0,33,31,2593,28.8,0.07,0.1,0.17,0.07,0.17,0.17,0.11,0.28,0.17,0.28,0.0,0.21,4.72,2.08,8.72,MF,Inter,1.32,0.87,0.56,2.05,27.1,1.49,0.35,24.12
Enzo Barrenechea,ARG,MF,Frosinone,22.0,2001.0,33,29,2546,28.3,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07,0.0,0.32,0.85,0.32,4.95,MF,Frosinone,2.19,1.41,0.99,2.33,42.4,1.34,0.88,10.66
Daniel Boloca,ROU,MF,Sassuolo,25.0,1998.0,28,23,1956,21.7,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.04,0.02,0.04,0.05,0.23,0.69,1.06,4.98,MF,Sassuolo,2.07,1.47,1.2,2.07,57.8,0.88,0.65,13.01
Giacomo Bonaventura,ITA,MF,Fiorentina,34.0,1989.0,28,25,2086,23.2,0.3,0.13,0.43,0.3,0.43,0.24,0.15,0.38,0.18,0.33,0.0,0.22,4.48,2.54,5.52,MF,Fiorentina,1.12,0.56,0.39,0.78,50.0,0.39,0.6,20.33
Edoardo Bove,ITA,MF,Roma,21.0,2002.0,27,16,1542,17.1,0.0,0.12,0.12,0.0,0.12,0.11,0.04,0.15,0.11,0.15,0.0,0.12,2.4,0.88,4.04,MF,Roma,3.22,1.7,1.58,2.63,60.0,1.05,0.47,10.96
Marco Brescianini,ITA,MF,Frosinone,24.0,2000.0,32,20,1970,21.9,0.18,0.09,0.27,0.18,0.27,0.09,0.04,0.13,0.09,0.13,0.0,0.05,3.79,1.83,2.74,MF,Frosinone,1.19,0.55,0.37,1.05,34.8,0.68,0.41,12.09
Hakan Çalhanoğlu,TUR,MF,Inter,30.0,1994.0,30,30,2390,26.6,0.49,0.11,0.6,0.11,0.23,0.38,0.18,0.55,0.08,0.26,0.0,0.19,1.17,1.65,6.58,MF,Inter,2.26,1.17,1.05,1.65,63.6,0.6,0.79,20.7
Antonio Candreva,ITA,MF,Salernitana,37.0,1987.0,32,31,2645,29.4,0.2,0.2,0.41,0.17,0.37,0.16,0.17,0.33,0.13,0.3,0.0,0.17,6.02,2.18,4.86,MF,Salernitana,0.61,0.44,0.31,0.82,37.5,0.51,0.24,17.69
Andrea Colpani,ITA,MF,Monza,24.0,1999.0,34,32,2351,26.1,0.31,0.15,0.46,0.31,0.46,0.17,0.16,0.33,0.17,0.33,0.0,0.04,6.4,3.14,4.02,MF,Monza,0.84,0.54,0.34,0.57,60.0,0.23,0.54,19.42
Lassana Coulibaly,MLI,MF,Salernitana,28.0,1996.0,24,21,1767,19.6,0.0,0.05,0.05,0.0,0.05,0.03,0.04,0.07,0.03,0.07,0.0,0.26,1.79,1.38,4.13,MF,Salernitana,1.99,1.43,0.97,2.04,47.5,1.07,0.71,12.29
