Player,Nation,Age,MP,Starts,90s,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,CrdR/90,CrdY/90,PrgR/90,PrgC/90,PrgP/90,Performance_rating
Paulo Dybala,ARG,30.0,25,23,20.0,0.65,0.45,1.1,0.3,0.75,0.5,0.18,0.69,0.23,0.41,0.0,0.15,7.85,3.6,5.45,3.8
Olivier Giroud,FRA,37.0,31,25,23.7,0.55,0.34,0.89,0.38,0.72,0.52,0.19,0.71,0.36,0.55,0.04,0.04,3.5,0.38,1.14,3.06
Nicolás González,ARG,26.0,25,18,17.9,0.5,0.11,0.61,0.45,0.56,0.48,0.09,0.57,0.35,0.43,0.0,0.06,9.16,2.74,4.3,2.27
Albert Guðmundsson,ISL,26.0,32,32,31.4,0.45,0.1,0.54,0.32,0.41,0.3,0.15,0.44,0.17,0.31,0.0,0.13,4.9,2.32,3.57,1.97
Jonathan Ikone,FRA,26.0,24,16,16.9,0.18,0.06,0.24,0.18,0.24,0.26,0.11,0.37,0.26,0.37,0.0,0.3,8.4,2.6,3.31,0.6
Ciro Immobile,ITA,34.0,28,19,16.7,0.36,0.06,0.42,0.12,0.18,0.5,0.12,0.63,0.31,0.44,0.0,0.48,6.71,1.08,1.98,1.14
Nikola Krstović,MNE,24.0,31,26,22.8,0.26,0.04,0.31,0.22,0.26,0.44,0.12,0.56,0.33,0.45,0.04,0.18,4.65,1.27,1.89,0.86
Khvicha Kvaratskhelia,GEO,23.0,31,29,27.6,0.36,0.22,0.58,0.36,0.58,0.37,0.23,0.6,0.37,0.6,0.0,0.22,8.41,6.12,3.01,1.88
Armand Lauriente,FRA,25.0,33,32,29.1,0.14,0.14,0.27,0.14,0.27,0.19,0.13,0.32,0.19,0.32,0.0,0.17,8.59,4.09,3.16,0.81
Darko Lazović,SRB,33.0,28,18,18.2,0.11,0.05,0.16,0.11,0.16,0.11,0.14,0.25,0.1,0.24,0.05,0.0,6.21,1.92,2.97,0.44
Rafael Leão,POR,24.0,30,27,25.7,0.27,0.31,0.58,0.27,0.58,0.26,0.32,0.58,0.26,0.58,0.0,0.19,10.58,5.88,4.01,1.82
Ademola Lookman,NGA,26.0,27,19,18.1,0.5,0.33,0.83,0.5,0.83,0.39,0.23,0.62,0.39,0.62,0.0,0.22,10.61,3.15,4.81,2.77
