Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alejandro Balde,ESP,DF,Barcelona,20.0,2003,15.3,1.31,0.72,0.72,0.39,0.20,0.46,0.72,63.6,0.26,0.92,0.07,0.85,0.33,1.63,1.37,0.07
Iván Balliu,ALB,DF,Rayo Vallecano,32.0,1992,29.9,1.37,0.94,0.67,0.70,0.00,0.70,1.24,56.8,0.54,0.87,0.33,0.54,0.94,2.31,2.07,0.03
Jonathan Bamba,CIV,MF,Celta Vigo,28.0,1996,21.0,0.67,0.43,0.19,0.38,0.10,0.10,0.81,11.8,0.71,0.95,0.00,0.95,0.86,1.52,0.57,0.00
Léo Baptistão,BRA,FW,Almería,31.0,1992,19.0,1.11,0.68,0.47,0.37,0.26,0.37,1.11,33.3,0.74,0.63,0.05,0.58,0.53,1.63,1.11,0.00
Francisco Barbosa,ESP,GK,Betis,25.0,1999,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00
Kike Barja,ESP,FW,Osasuna,27.0,1997,3.4,1.76,0.59,0.59,0.59,0.59,0.88,2.35,37.5,1.47,0.59,0.29,0.29,0.59,2.35,0.59,0.00
Ander Barrenetxea,ESP,FW,Real Sociedad,22.0,2001,14.3,2.10,1.33,0.42,1.05,0.63,0.70,1.75,40.0,1.05,1.05,0.07,0.98,0.35,2.45,0.28,0.00
Pablo Barrios,ESP,MF,Atlético Madrid,20.0,2003,16.8,2.56,1.37,0.83,1.67,0.06,1.07,2.32,46.2,1.25,1.19,0.18,1.01,1.67,4.23,1.37,0.12
Marc Bartra,ESP,DF,Betis,33.0,1991,2.5,1.60,1.20,1.20,0.40,0.00,1.60,2.00,80.0,0.40,1.20,0.40,0.80,1.20,2.80,4.00,0.00
Augusto Batalla,ARG,GK,Granada,28.0,1996,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.59,0.12
Bebé,CPV,MF,Rayo Vallecano,33.0,1990,2.2,0.91,0.91,0.45,0.45,0.00,0.45,2.27,20.0,1.82,0.45,0.00,0.45,0.00,0.91,0.00,0.00
Sheraldo Becker,SUR,FW,Real Sociedad,29.0,1995,6.4,0.47,0.47,0.16,0.31,0.00,0.00,0.16,0.0,0.16,0.47,0.00,0.47,0.16,0.63,0.00,0.00
Héctor Bellerín,ESP,DF,Betis,29.0,1995,17.2,1.69,1.10,0.64,0.81,0.23,0.93,2.62,35.6,1.69,0.70,0.29,0.41,1.16,2.85,2.21,0.06
Jude Bellingham,ENG,MF,Real Madrid,20.0,2003,23.7,1.65,1.31,0.51,0.72,0.42,0.46,1.31,35.5,0.84,2.15,0.21,1.94,0.89,2.53,0.68,0.00
Fran Beltrán,ESP,MF,Celta Vigo,25.0,1999,24.5,2.04,1.14,0.78,0.86,0.41,0.82,2.24,36.4,1.43,1.02,0.08,0.94,0.69,2.73,1.22,0.00
Carlos Benavídez,URU,MF,Alavés,26.0,1998,11.9,4.71,2.94,1.60,2.18,0.92,1.60,2.86,55.9,1.26,1.09,0.42,0.67,1.60,6.30,2.52,0.00
Yuri Berchiche,ESP,DF,Athletic Club,34.0,1990,19.8,1.52,1.11,0.61,0.61,0.30,0.86,1.52,56.7,0.66,1.36,0.45,0.91,0.91,2.42,2.83,0.00
Álex Berenguer,ESP,FW,Athletic Club,28.0,1995,15.5,1.42,0.84,0.52,0.58,0.32,0.39,1.42,27.3,1.03,1.42,0.00,1.42,0.32,1.74,0.65,0.00
Isaac Bernal,ESP,FW,Sevilla,23.0,2000,11.5,,0.26,,,,,,,,,,,0.00,,,
Antonio Blanco,ESP,MF,Alavés,23.0,2000,25.0,2.24,1.36,1.04,1.00,0.20,1.12,3.16,35.4,2.04,0.96,0.08,0.88,1.32,3.56,1.08,0.00
Daley Blind,NED,DF,Girona,34.0,1990,30.0,1.40,0.60,1.00,0.37,0.03,0.87,1.43,60.5,0.57,1.17,0.57,0.60,0.60,2.00,3.70,0.00
Adri Bosch,ESP,DF,Granada,22.0,2001,0.3,3.33,3.33,3.33,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,3.33,3.33,0.00
Yassine Bounou,MAR,GK,Sevilla,33.0,1991,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucas Boyé,ARG,FW,Granada,28.0,1996,25.2,1.79,0.91,0.52,0.91,0.36,0.56,1.31,42.4,0.75,1.35,0.20,1.15,0.40,2.18,1.79,0.00
Juan Brandáriz,ESP,DF,Almería,25.0,1999,24.0,1.33,0.88,0.83,0.50,0.00,0.63,0.92,68.2,0.29,1.42,0.92,0.50,0.58,1.92,3.88,0.08
Darko Brašanac,SRB,MF,Osasuna,32.0,1992,0.5,2.00,0.00,2.00,0.00,0.00,2.00,2.00,100.0,0.00,2.00,0.00,2.00,0.00,2.00,0.00,0.00
Claudio Bravo,CHI,GK,Betis,41.0,1983,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.0,0.14,0.00,0.00,0.00,0.00,0.00,0.29,0.00
Ben Brereton,CHI,FW,Villarreal,25.0,1999,3.0,0.67,0.67,0.33,0.00,0.33,0.00,0.67,0.0,0.67,0.00,0.00,0.00,0.00,0.67,0.00,0.00
Ante Budimir,CRO,FW,Osasuna,32.0,1991,26.3,0.76,0.57,0.08,0.42,0.27,0.15,0.49,30.8,0.34,0.61,0.19,0.42,0.19,0.95,0.68,0.00
Pablo Busto,ESP,DF,Betis,18.0,2005,0.5,2.00,2.00,0.00,0.00,2.00,2.00,2.00,100.0,0.00,0.00,0.00,0.00,2.00,4.00,6.00,0.00
José Callejón,ESP,MF,Granada,37.0,1987,7.9,1.27,0.63,0.89,0.38,0.00,0.89,2.28,38.9,1.39,0.89,0.13,0.76,0.63,1.90,1.27,0.00
Eduardo Camavinga,FRA,MF,Real Madrid,21.0,2002,18.4,3.80,2.39,1.90,1.52,0.38,1.09,1.85,58.8,0.76,1.90,0.43,1.47,1.52,5.33,1.30,0.05
Sergio Camello,ESP,FW,Rayo Vallecano,23.0,2001,16.9,0.89,0.30,0.18,0.53,0.18,0.30,0.83,35.7,0.53,0.41,0.06,0.36,0.12,1.01,0.77,0.00
José Campaña,ESP,MF,Las Palmas,30.0,1993,1.7,1.18,1.18,0.59,0.59,0.00,0.00,1.18,0.0,1.18,1.18,0.59,0.59,1.18,2.35,0.00,0.00
João Cancelo,POR,DF,Barcelona,29.0,1994,25.7,2.41,1.63,1.28,0.82,0.31,1.44,2.18,66.1,0.74,1.25,0.23,1.01,1.05,3.46,2.10,0.04
Sergi Canós,ESP,MF,Valencia,27.0,1997,11.5,1.57,0.78,0.52,0.70,0.35,0.52,1.57,33.3,1.04,0.87,0.09,0.78,0.87,2.43,0.61,0.00
Étienne Capoue,FRA,MF,Villarreal,35.0,1988,15.9,2.01,1.13,1.07,0.75,0.19,0.94,1.38,68.2,0.44,1.19,0.25,0.94,1.38,3.40,1.51,0.06
Isaac Carcelen,ESP,DF,Cádiz,31.0,1993,28.9,1.73,1.07,1.04,0.52,0.17,0.87,1.52,56.8,0.66,0.83,0.24,0.59,0.93,2.66,3.01,0.07
Marc Cardona,ESP,FW,Las Palmas,28.0,1995,7.1,1.27,1.13,0.42,0.56,0.28,0.14,1.55,9.1,1.41,0.70,0.00,0.70,0.14,1.41,0.99,0.00
Sergi Cardona,ESP,DF,Las Palmas,24.0,1999,29.3,2.97,1.81,1.71,0.96,0.31,1.81,3.07,58.9,1.26,1.30,0.24,1.06,1.50,4.47,3.31,0.00
Johnny Cardoso,USA,MF,Betis,22.0,2001,12.0,3.00,1.92,1.25,1.42,0.33,1.50,2.17,69.2,0.67,1.42,0.42,1.00,2.17,5.17,2.33,0.00
Carmona,ESP,DF,Getafe,22.0,2002,12.9,1.78,1.24,0.70,0.93,0.16,0.54,1.78,30.4,1.24,1.01,0.08,0.93,1.40,3.18,1.55,0.00
Yannick Carrasco,BEL,DF,Atlético Madrid,30.0,1993,2.5,1.60,1.60,1.20,0.40,0.00,0.80,2.80,28.6,2.00,0.80,0.00,0.80,0.40,2.00,2.40,0.00
Álvaro Carreras,ESP,MF,Granada,21.0,2003,5.3,2.45,1.51,1.51,0.75,0.19,0.94,2.08,45.5,1.13,0.94,0.19,0.75,1.32,3.77,1.70,0.19
Dani Carvajal,ESP,DF,Real Madrid,32.0,1992,22.3,2.06,1.39,1.21,0.67,0.18,0.99,1.79,55.0,0.81,1.17,0.36,0.81,0.94,3.00,2.24,0.18
William Carvalho,POR,MF,Betis,32.0,1992,6.9,2.32,1.30,1.01,1.01,0.29,1.16,2.03,57.1,0.87,1.01,0.14,0.87,0.87,3.19,1.01,0.14
Marc Casado,ESP,MF,Barcelona,20.0,2003,0.2,5.00,5.00,5.00,0.00,0.00,5.00,5.00,100.0,0.00,0.00,0.00,0.00,5.00,10.0,10.0,0.00
Catena,ESP,DF,Osasuna,29.0,1994,25.3,1.23,0.63,0.99,0.20,0.04,0.71,1.34,52.9,0.63,0.91,0.55,0.36,0.51,1.74,4.35,0.12
Dani Ceballos,ESP,MF,Real Madrid,27.0,1996,5.4,1.11,0.56,0.37,0.74,0.00,0.37,1.48,25.0,1.11,1.30,0.19,1.11,0.00,1.11,0.56,0.00
Álex Centelles,ESP,DF,Almería,26.0,1997,9.9,1.11,0.61,0.91,0.20,0.00,0.81,1.72,47.1,0.91,0.51,0.20,0.30,1.52,2.63,2.93,0.00
Franco Cervi,ARG,MF,Celta Vigo,29.0,1994,5.9,3.90,2.88,2.20,1.53,0.17,2.03,3.73,54.5,1.69,2.71,0.00,2.71,1.19,5.08,0.68,0.00
Pep Chavarría,ESP,DF,Rayo Vallecano,26.0,1998,11.8,1.78,1.44,1.10,0.51,0.17,0.93,1.44,64.7,0.51,1.10,0.17,0.93,0.51,2.29,2.29,0.08
Andreas Christensen,DEN,DF,Barcelona,28.0,1996,20.7,1.11,0.72,0.34,0.68,0.10,0.77,1.35,57.1,0.58,0.97,0.39,0.58,0.87,1.98,1.93,0.00
Víctor Chust,ESP,DF,Cádiz,24.0,2000,18.9,1.43,0.85,1.11,0.26,0.05,0.90,1.53,58.6,0.63,1.22,0.90,0.32,0.58,2.01,4.34,0.05
Pathé Ciss,SEN,MF,Rayo Vallecano,30.0,1994,16.5,2.30,1.21,0.91,1.33,0.06,0.91,1.58,57.7,0.67,1.39,0.55,0.85,1.58,3.88,3.15,0.00
Silvi Clúa,ESP,MF,Girona,19.0,2005,0.0,2,0,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0
Saúl Coco,EQG,DF,Las Palmas,25.0,1999,22.5,1.24,0.76,0.98,0.27,0.00,0.36,0.62,57.1,0.27,1.02,0.62,0.40,0.84,2.09,4.49,0.13
Santi Comesaña,ESP,MF,Villarreal,27.0,1996,15.5,2.32,1.23,0.71,1.16,0.45,0.97,2.13,45.5,1.16,2.06,0.58,1.48,1.29,3.61,1.23,0.06
Copete,ESP,DF,Mallorca,24.0,1999,13.9,3.02,1.73,1.80,1.15,0.07,2.01,2.88,70.0,0.86,0.86,0.43,0.43,2.01,5.04,3.02,0.07
Francis Coquelin,FRA,MF,Villarreal,33.0,1991,9.6,1.77,1.04,0.73,0.94,0.10,0.42,1.15,36.4,0.73,1.46,0.42,1.04,1.67,3.44,1.56,0.00
Theo Corbeanu,CAN,MF,Granada,21.0,2002,1.5,2.00,0.67,0.67,1.33,0.00,0.00,0.67,0.0,0.67,0.67,0.00,0.67,0.67,2.67,0.67,0.00
Jesús Corona,MEX,MF,Sevilla,31.0,1993,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00
Ángel Correa,ARG,FW,Atlético Madrid,29.0,1995,14.9,1.14,0.81,0.20,0.47,0.47,0.27,1.07,25.0,0.81,0.81,0.00,0.81,0.07,1.21,0.40,0.00
Thierry Correia,POR,DF,Valencia,25.0,1999,21.9,2.65,1.51,1.64,0.87,0.14,1.23,2.19,56.3,0.96,1.55,0.64,0.91,1.51,4.16,2.69,0.00
Jaume Costa,ESP,DF,Mallorca,36.0,1988,16.8,2.02,1.13,1.25,0.54,0.24,1.01,1.67,60.7,0.65,0.77,0.24,0.54,0.89,2.92,1.55,0.00
Samu Costa,POR,MF,Mallorca,23.0,2000,24.9,3.65,2.01,1.61,1.85,0.20,1.85,3.73,49.5,1.89,1.08,0.52,0.56,1.45,5.10,2.33,0.12
