Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Cristiano Biraghi,ITA,DF,Fiorentina,31.0,1992,23.2,1.81,1.08,0.73,0.95,0.13,1.16,2.11,55.1,0.95,1.21,0.17,1.03,0.60,2.41,1.55,0.00
Davide Biraschi,ITA,DF,Genoa,29.0,1994,1.0,3.00,3.00,1.00,2.00,0.00,1.00,3.00,33.3,2.00,0.00,0.00,0.00,2.00,5.00,5.00,0.00
Samuele Birindelli,ITA,DF,Monza,24.0,1999,19.3,1.30,0.83,0.83,0.26,0.21,0.67,1.19,56.5,0.52,1.45,0.52,0.93,0.88,2.18,1.97,0.00
Alexis Blin,FRA,MF,Lecce,27.0,1996,15.4,1.69,0.91,0.52,1.04,0.13,0.78,2.21,35.3,1.43,0.84,0.13,0.71,1.30,2.99,2.08,0.00
Jérôme Boateng,GER,DF,Salernitana,35.0,1988,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,2.31,1.92,0.38,1.54,1.54,8.08,0.00
Emil Bohinen,NOR,MF,Genoa,25.0,1999,0.6,1.67,1.67,0.00,1.67,0.00,0.00,0.00,,0.00,1.67,0.00,1.67,0.00,1.67,5.00,0.00
Emil Bohinen,NOR,MF,Salernitana,25.0,1999,5.9,1.36,1.02,0.85,0.51,0.00,0.34,1.69,20.0,1.36,1.36,0.34,1.02,2.37,3.73,1.02,0.17
Daniel Boloca,ROU,MF,Sassuolo,25.0,1998,21.7,2.07,1.47,0.69,1.15,0.23,1.20,2.07,57.8,0.88,1.01,0.55,0.46,0.65,2.72,1.43,0.09
Giacomo Bonaventura,ITA,MF,Fiorentina,34.0,1989,23.2,1.12,0.56,0.26,0.43,0.43,0.39,0.78,50.0,0.39,0.69,0.04,0.65,0.60,1.72,0.43,0.00
Federico Bonazzoli,ITA,FW,Hellas Verona,26.0,1997,10.1,0.30,0.10,0.10,0.20,0.00,0.10,0.69,14.3,0.59,0.79,0.10,0.69,0.30,0.59,0.30,0.00
Warren Bondo,FRA,MF,Monza,20.0,2003,13.4,1.87,1.34,1.04,0.67,0.15,0.82,1.04,78.6,0.22,0.82,0.22,0.60,0.45,2.31,0.90,0.00
Giovanni Bonfanti,ITA,DF,Atalanta,21.0,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00
