Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Kingsley Coman,FRA,FW,Bayern Munich,27.0,1996,12.4,0.97,0.56,0.40,0.24,0.32,0.73,1.37,52.9,0.65,1.21,0.08,1.13,0.16,1.13,0.40,0.00
Bambasé Conté,GER,MF,Hoffenheim,20.0,2003,0.5,6.00,6.00,4.00,0.00,2.00,2.00,2.00,100.0,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00
Danny da Costa,GER,DF,Mainz 05,30.0,1993,8.9,1.80,0.79,0.79,0.79,0.22,0.79,1.91,41.2,1.12,1.80,0.45,1.35,1.80,3.60,2.47,0.00
Nicolas Cozza,FRA,DF,Wolfsburg,25.0,1999,3.1,2.58,1.94,1.29,1.29,0.00,0.65,2.26,28.6,1.61,0.97,0.00,0.97,1.29,3.87,1.94,0.00
Tomáš Čvančara,CZE,FW,M'Gladbach,23.0,2000,8.8,0.45,0.34,0.00,0.23,0.23,0.11,0.34,33.3,0.23,0.57,0.11,0.45,0.00,0.45,0.91,0.00
Finn Dahmen,GER,GK,Augsburg,26.0,1998,31.0,0.03,0.00,0.03,0.00,0.00,0.03,0.10,33.3,0.06,0.00,0.00,0.00,0.00,0.03,0.55,0.16
Mahmoud Dahoud,GER,MF,Stuttgart,28.0,1996,2.3,2.17,0.43,0.43,1.74,0.00,1.30,2.61,50.0,1.30,1.74,0.00,1.74,0.00,2.17,0.43,0.00
Lukas Daschner,GER,MF,Bochum,25.0,1998,5.5,1.27,0.73,0.36,0.55,0.36,0.73,1.64,44.4,0.91,1.27,0.00,1.27,0.36,1.64,0.36,0.00
David Datro Fofana,CIV,FW,Union Berlin,21.0,2002,7.6,1.32,0.92,0.39,0.66,0.26,0.53,1.18,44.4,0.66,0.53,0.00,0.53,0.00,1.32,0.66,0.00
Alphonso Davies,CAN,DF,Bayern Munich,23.0,2000,19.9,2.21,1.06,1.31,0.65,0.25,1.41,2.51,56.0,1.11,1.31,0.10,1.21,1.21,3.42,2.01,0.05
Olivier Deman,BEL,DF,Werder Bremen,24.0,2000,14.8,1.89,1.01,1.42,0.27,0.20,1.22,2.43,50.0,1.22,1.62,0.54,1.08,0.88,2.77,2.97,0.07
Ermedin Demirović,BIH,FW,Augsburg,26.0,1998,28.9,0.80,0.48,0.17,0.52,0.10,0.42,1.21,34.3,0.80,0.76,0.03,0.73,0.28,1.07,0.80,0.00
Sepp van den Berg,NED,DF,Mainz 05,22.0,2001,28.5,1.30,0.81,0.67,0.53,0.11,0.53,0.88,60.0,0.35,2.11,1.05,1.05,1.37,2.67,5.16,0.07
Samuele Di Benedetto,GER,MF,Stuttgart,18.0,2005,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00
Justin Diehl,GER,FW,Köln,19.0,2004,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.56,0.56,0.00,0.00,0.00,0.00,0.56
Eric Dier,ENG,DF,Bayern Munich,30.0,1994,11.5,0.61,0.35,0.35,0.26,0.00,0.26,0.35,75.0,0.09,1.39,0.78,0.61,0.87,1.48,3.57,0.00
Florian Dietz,GER,FW,Köln,25.0,1998,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,1.67,0.00,1.67,0.00,0.00,0.00,0.00
Junior Dina Ebimbe,FRA,MF,Eint Frankfurt,23.0,2000,20.0,2.05,1.35,0.75,0.80,0.50,0.85,1.85,45.9,1.00,1.30,0.35,0.95,0.35,2.40,1.70,0.00
